id,title,body,tags,answers,score
43835827,Can´t pass integer in mysql query using php,"<p>I have the following php code:</p>

<pre><code>&lt;?php

$servername = ""127.0.0.1"";
$username = ""TISD"";
$password = ""conex2017"";
$dbname = ""45868972A-15473654J"";

$year=$_POST['year'];
$yearInt=(int)$year;

// Create connection
$db=mysql_connect($servername,$username,$password) or die(""Error in Mysql connection""); 


$result=mysql_db_query($dbname,""SELECT Titulo FROM Completa WHERE Año='"".$yearInt.""';"",$db);


print(""Listado de ejemplares para el anio dado:"");
print(""&lt;BR&gt;"");
$contador = 0;

if($result === FALSE) { 
    die(mysql_error()); // TODO: better error handling
}

while ($row=mysql_fetch_array($result)) {
  $contador = $contador + 1;
  print ($contador);
  print ("": "");
  print($row[""Titulo""]);
  print(""&lt;BR&gt;"");
} 

mysql_close(); 

?&gt;
</code></pre>

<p>This php receive a string variable named ""year"" from a form, I transform this into a int, name yearInt, (everything correct until here). When I execute the script I obtain the following error:</p>

<blockquote>
  <p>Listado de ejemplares para el anio dado:
  You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '±o='1994'' at line 1</p>
</blockquote>

<p>I have tried solution answered here <a href=""https://stackoverflow.com/questions/15408546/php-integer-variable-pass-in-mysql-query"">php integer variable pass in mysql query?</a>, but it did not work for me.</p>

<p>%%%%  SOLUTION  %%%%</p>

<p>I have modified my database changing column ""Año"" to ""Anio"". It was due to character ñ.</p>",php|html|mysql,"<p>try this it should work</p>

<pre><code>$result=mysql_db_query($dbname,""SELECT Titulo FROM Completa WHERE Año=$year ;"",$db);
</code></pre>

<p>You can remove the cast to int it has no meaning because you're casting a string to int and then int to string (the point between the string and the variable concatenate every thing to string) </p>",0
43835827,Can´t pass integer in mysql query using php,"<p>I have the following php code:</p>

<pre><code>&lt;?php

$servername = ""127.0.0.1"";
$username = ""TISD"";
$password = ""conex2017"";
$dbname = ""45868972A-15473654J"";

$year=$_POST['year'];
$yearInt=(int)$year;

// Create connection
$db=mysql_connect($servername,$username,$password) or die(""Error in Mysql connection""); 


$result=mysql_db_query($dbname,""SELECT Titulo FROM Completa WHERE Año='"".$yearInt.""';"",$db);


print(""Listado de ejemplares para el anio dado:"");
print(""&lt;BR&gt;"");
$contador = 0;

if($result === FALSE) { 
    die(mysql_error()); // TODO: better error handling
}

while ($row=mysql_fetch_array($result)) {
  $contador = $contador + 1;
  print ($contador);
  print ("": "");
  print($row[""Titulo""]);
  print(""&lt;BR&gt;"");
} 

mysql_close(); 

?&gt;
</code></pre>

<p>This php receive a string variable named ""year"" from a form, I transform this into a int, name yearInt, (everything correct until here). When I execute the script I obtain the following error:</p>

<blockquote>
  <p>Listado de ejemplares para el anio dado:
  You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '±o='1994'' at line 1</p>
</blockquote>

<p>I have tried solution answered here <a href=""https://stackoverflow.com/questions/15408546/php-integer-variable-pass-in-mysql-query"">php integer variable pass in mysql query?</a>, but it did not work for me.</p>

<p>%%%%  SOLUTION  %%%%</p>

<p>I have modified my database changing column ""Año"" to ""Anio"". It was due to character ñ.</p>",php|html|mysql,"<p>Rewrite the query as </p>

<pre><code>SELECT Titulo FROM Completa WHERE `Año`='"".$yearInt.""';
</code></pre>

<p>Notice the backticks for the column name.</p>",0
47786536,Calculating sentence length and average words per sentence? | Javascript,"<p>This is my first Javascript project. I have to count the words, spaces, sentences, and average words per sentence. I have already done the first two steps to the code and have made it so it calculates the words and spaces. I'm not really sure how to average the words per sentence or the amount of sentences. </p>

<p>For words per sentence I'm thinking I should somehow use the value of the word count I already have in the function and divide it by its sum, but I'm not really sure how to set that up. For the sentence one, I am kind of clueless on how to do it. I don't know if I could maybe scan the input for periods/question marks/exclamation points? I've looked it up and can't find anything specific enough that I'm looking for. Any pointers?? Here's the code:
HTML</p>

<pre><code>&lt;form name=""myform"" method=""post"" action=""""&gt;
&lt;textarea name=""inpString"" cols=""49"" rows=""4""&gt;&lt;/textarea&gt;
&lt;br /&gt;
&lt;input type=""button"" name=""Count"" value=""Calculate"" onClick=""countNoOfWords();"" /&gt;  
&lt;input name=""noofwords"" type=""text"" value="""" size=""6"" /&gt;
&lt;input name=""noofspaces"" type=""text"" value="""" size=""6"" /&gt;
&lt;/form&gt;
</code></pre>

<p>Javascript</p>

<pre><code>function countNoOfWords() {

 document.myform.noofwords.value = document.myform.inpString.value.split(' ').length + "" words"";
 document.myform.noofspaces.value = document.myform.inpString.value.split("" "").length - 1 + "" spaces"";

}
</code></pre>

<p>Thanks so much, I really appreciate it. Let me know if there are any questions.</p>

<p>I'm thinking now I could use an if statement to find periods/question marks/exclamation points and then return that value for finding the number of sentences. I don't really know though.</p>",javascript|html,"<p>For getting the number of sentences, take a look at <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Regular_Expressions"" rel=""nofollow noreferrer"">Regular Expressions</a> in JavaScript, which will allow you to split the text into an array of sentences:</p>

<pre><code>function getNoOfSentences() {
    var val = document.myform.inpString.value;
    var sentences = val.split(/[\.!?]+/); // split on punctuation
    return sentences.length - 1; // subtract 1 to account for last sentence
}
</code></pre>

<p>Once you have the sentences, you can calculate average number of words per sentence by taking your total number of words divided by the number of sentences:</p>

<pre><code>var averageWords = totalWords / numSentences;
</code></pre>",4
53908285,When I add a hyperlink to my logo it ignores CSS sizing,"<p>Here's my code. Using bootstrap 4.1 framework:</p>

<pre><code>&lt;div class=""container""&gt;
  &lt;div class=""d-none d-md-block""&gt;
    &lt;div class=""d-flex justify-content-center""&gt;
      &lt;img class=""logo"" src=""logo2.png""&gt;
      &lt;p&gt;
      &lt;p&gt;
  &lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>And the CSS:</p>

<pre><code>.logo { width: 50%; height: 50%;}
</code></pre>

<p>So I casually add a hyperlink on the image to my homepage like this:</p>

<pre><code>&lt;div class=""container""&gt;
  &lt;div class=""d-none d-md-block""&gt;
    &lt;div class=""d-flex justify-content-center""&gt;
      &lt;a href=""home.html""&gt;&lt;img class=""logo"" src=""logo2.png""&gt;&lt;/a&gt;
        &lt;p&gt;
        &lt;p&gt;
    &lt;/div&gt;
  &lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>And the logo freaks out and becomes slanted and odd looking. I tried moving the link around the grid container but it's a no go. Also tried keeping the styling inline inside the <code>&lt;img&gt;</code> tag. Still a no no :(</p>",html|css|bootstrap-4,"<p>The <code>%</code> unit sets the width&amp;height relative to the parent element's width&amp;height.</p>

<p>First, define the width&amp;height value for parent element <em>(in your code = <code>a</code>)</em> and add <code>logo</code> class into it. <em>(see example below)</em></p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>.logo {
  width: 50%; /* parent element's width */
  height: 50% /* parent element's height */
}

.logo&gt;img {
  width: 100%; /* img's width */
  height: 100% /* img's height */
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.2.1/css/bootstrap.min.css"" integrity=""sha384-GJzZqFGwb1QTTN6wy59ffF1BuGJpLSa9DkKMp0DgiMDm4iYMj70gZWKYbI706tWS"" crossorigin=""anonymous""&gt;

&lt;div class=""container""&gt;
  &lt;div class=""d-none d-md-block""&gt;
    &lt;div class=""d-flex justify-content-center""&gt;
      &lt;a href=""home.html"" class=""logo""&gt;&lt;img src=""logo2.png"" /&gt;&lt;/a&gt;
      &lt;p&gt;&lt;/p&gt;
    &lt;/div&gt;
  &lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>",0
19948224,Need Menu in Separate html file,<p>I want to create a menu which will be used in 40 to 50 pages. I want to create it in a separate file so that it can be updated easily. How to do that?</p>,html|menu,"<p>Put your menu HTML somewhere and use jQuery to load it into a designated element:</p>

<pre><code>$(""#menu"").load( ""menu.html"" );
</code></pre>",2
19948224,Need Menu in Separate html file,<p>I want to create a menu which will be used in 40 to 50 pages. I want to create it in a separate file so that it can be updated easily. How to do that?</p>,html|menu,"<p>To put a menu (or any other HTML section) in a separate file wihout jquery or iframes you can use Server Side Includes (SSI).  </p>

<ol>
<li><p>Create a single HTML file containing the HTML you want to include, eg the HTML of a menu that needs to be repeated in many files. Do <em>not</em> includ <code>&lt;! doctype</code>,  <code>&lt;head&gt;</code> etc. Save the file with a <code>.shtml</code> extension, eg <code>menu.shtml</code> (alough usually it works with just .html). Example:</p>

<pre><code>&lt;ul id=""navmenu""&gt;
&lt;li&gt;&lt;a href=""page1.shtml""&gt;Page One&lt;/a&gt;&lt;/li&gt;
&lt;li&gt;&lt;a href=""page2.shtml""&gt;Page Two&lt;/a&gt;&lt;/li&gt;
&lt;li&gt;&lt;a href=""page3.shtml""&gt;Page Three&lt;/a&gt;&lt;/li&gt;
&lt;/ul&gt;
</code></pre></li>
<li><p>Add the include statement to every file you want this menu to be put in:</p>

<pre><code> &lt;!-- #include file=""menu.shtml"" --&gt;
</code></pre></li>
</ol>

<p>Paths are relative, using a path relative to the root of the webserver is done by:. </p>

<pre><code>&lt;!--#include virtual=""/directory/menu.shtml"" --&gt;
</code></pre>

<p><a href=""http://mobile.htmlgoodies.com/beyond/webmaster/article.php/3473341"" rel=""nofollow"">More info</a> </p>

<p><a href=""http://www.htmlcenter.com/blog/creating-a-headerfooter-to-be-used-on-all-pages/"" rel=""nofollow"">Info on SSI with php, VBScript and other languages</a> </p>",0
19948224,Need Menu in Separate html file,<p>I want to create a menu which will be used in 40 to 50 pages. I want to create it in a separate file so that it can be updated easily. How to do that?</p>,html|menu,"<p>Okay there a 3 ways:</p>

<ol>
<li>PHP. Include it per PHP (include Command)</li>
<li>JavaScript. Load it with AJAX and display it in a div. (jQuery will help you)</li>
<li>Iframe. Dirty and ugly but it will be the fastest way</li>
</ol>",0
20098274,JSON table won't show up,"<p>I want to fetch some data out of a JSON and put it up into a table. Firefox and Chrome only show a blank white page. The Webconsole is not putting out any error. Whats wrong with my code?</p>

<pre><code>&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;
&lt;title&gt;test&lt;/title&gt;
&lt;script type=""text/javascript"" src=""http://code.jquery.com/jquery-latest.min.js""&gt;&lt;/script&gt;    
&lt;/head&gt;
&lt;body&gt;
&lt;script type=""text/javascript""&gt;
$(document).ready(function(){
        $.getJSON('./url.php', function(data) {
            var cars = data.rec.vehicles.vehicles;
            $.each(cars, function(key, data){
                console.log(data.carName);
                $('#usertable').append(
                    function() {
                        return ""&lt;tr&gt;""+
                                    ""&lt;td&gt;""+data.carName+""&lt;/td&gt;""+
                                    ""&lt;td&gt;""+data.model+""&lt;/td&gt;""+
                                    ""&lt;td&gt;""+data.fuelState+""&lt;/td&gt;""+
                                    ""&lt;td&gt;1&lt;/td&gt;""+
                                ""&lt;tr&gt;""; 
                    }
                );
            })
        });
    });
&lt;/script&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>",json|html-table,"<p>There is no element with the ID <code>usertable</code> in your HTML. jQuery has no place to append the <code>tr</code> elements to.</p>

<p>HTML:</p>

<pre><code>&lt;table id=""usertable""&gt;
&lt;/table&gt;
</code></pre>

<p>JavaScript:</p>

<pre><code>var cars = [{
    carName: ""Car 1"",
    model: ""model 1"",
    fuelState: ""full""
}, {
    carName: ""Car 2"",
    model: ""model 2"",
    fuelState: ""full""
}, {
    carName: ""Car 3"",
    model: ""model 1"",
    fuelState: ""half""
}, {
    carName: ""Car 4"",
    model: ""model 2"",
    fuelState: ""half""
}, {
    carName: ""Car 5"",
    model: ""model 1"",
    fuelState: ""empty""
}];

$.each(cars, function (key, data) {
    console.log(data.carName);
    $('#usertable').append(

    function () {
        return ""&lt;tr&gt;"" +
            ""&lt;td&gt;"" + data.carName + ""&lt;/td&gt;"" +
            ""&lt;td&gt;"" + data.model + ""&lt;/td&gt;"" +
            ""&lt;td&gt;"" + data.fuelState + ""&lt;/td&gt;"" +
            ""&lt;td&gt;1&lt;/td&gt;"" +
            ""&lt;tr&gt;"";
    });
})
</code></pre>

<p>See <a href=""http://jsfiddle.net/lutzhorn/v6A3A/4/"" rel=""nofollow"">http://jsfiddle.net/lutzhorn/v6A3A/4/</a></p>",0
55713236,Angular: components height to screen only,"<p>How can I set in Angular all components max-height and max-width to fit screen size? I don't want setting sizes to 100% from html all the way to the component is not what I'm looking for, I don't want nested components to exceed the screen size</p>",html|css|angular,"<p>maybe this work: </p>

<pre><code>*{
    max-width: 100vw; // view width
    max-height: 100vh; // view height
}
</code></pre>

<p><code>vh</code> and <code>vw</code> are the viewport size</p>",0
55713236,Angular: components height to screen only,"<p>How can I set in Angular all components max-height and max-width to fit screen size? I don't want setting sizes to 100% from html all the way to the component is not what I'm looking for, I don't want nested components to exceed the screen size</p>",html|css|angular,"<p>May be this css can fixed your problem (This is responsive from everywhere) please follow this link <a href=""https://css-tricks.com/fun-viewport-units/"" rel=""nofollow noreferrer"">https://css-tricks.com/fun-viewport-units/</a></p>

<pre><code>* {
    margin: 0 ;
    padding:0;
}

body {
    width: 100vw;
    height: 100vh;
    display: flex;
    justify-content: center;
    align-items: center;
}

.box{
    width: 100px;
    height:100px;
    background-color: #ccc;
}
</code></pre>

<p>Html Goes here</p>

<pre><code>&lt;body&gt;
    &lt;div class=""box""&gt;
    &lt;/div&gt;
&lt;/body&gt;
</code></pre>",0
