id,title,body,tags,answers,score
43055556,"Hide/show function jquery or javascript calling more than one action, but not at the same time","<p>So i want to make a remove player button, so that everytime i click it, it hides a images/button, the same for a add player function.</p>

<pre><code>function addplayer(){
for (var i = 51; i &lt;= 94; i++) {
    if (i == 51 || i == 61 ||){
  $(""#"" + ""addplayer"" + i).show();
}
}
}
</code></pre>

<p>This is my html caller</p>

<pre><code>  &lt;button onclick=""addplayer();""style=""bottom:55;position:fixed;right:10;width:100;height:40px;background-color:#FFFFFF;""&gt;addplayer&lt;/button&gt;

  document.getElementById(""addplayer2"").onclick=function(){
  document.getElementById(""51Container"").style.display=""inline-block"";
  document.getElementById(""52Container"").style.display=""inline-block"";
  document.getElementById(""53Container"").style.display=""inline-block"";
  document.getElementById(""54Container"").style.display=""inline-block"";
}
document.getElementById(""addplayer3"").onclick=function(){
  document.getElementById(""61Container"").style.display=""inline-block"";
  document.getElementById(""62Container"").style.display=""inline-block"";
  document.getElementById(""63Container"").style.display=""inline-block"";
  document.getElementById(""64Container"").style.display=""inline-block"";
}
</code></pre>

<p>(i got 6 in total completly looking the same), just to illustrate, how it would work
Theese are my add player function, just on 5 different buttons, just to showcase that it is doing something, it doest seem to work for me, how do i do this, so that the same button will add (show), different object instead of the solution i got atm.</p>

<p>Hope somebody will help me.</p>",javascript|jquery,"<p>If you want to invoke the function which is assigned to the <code>addplayer#</code> control, instead of calling <code>$(""#addplayer"" + i).show()</code> try calling <code>$(""#addplayer"" + i).click()</code> .. however, based on our back-and-forth, it seems that your <code>i</code> needs some attention.</p>

<p>As you said, your <code>addplayer#</code> controls are buttons, therefore, I suggest the following:</p>

<pre><code>function addplayer(){
  $(""button[id^='addplayer']"").each(function(i,e) { $(e).click(); });
}
</code></pre>

<p>This will invoke any click event function defined for any buttons whose id starts with <code>addplayer</code>.</p>

<p>See this fiddle for an example of how it works: <a href=""https://jsfiddle.net/qhevn1x3/2/"" rel=""nofollow noreferrer"">https://jsfiddle.net/qhevn1x3/2/</a></p>

<hr>

<p>Although I do not know your page's exact makeup, I would suggest something along these lines (if possible):</p>

<pre><code>&lt;div id='51Container'&gt;some player&lt;/div&gt;
&lt;button class=""addPlayer"" data-id=""51""&gt;Add Player&lt;/button&gt;
&lt;button class=""removePlayer"" data-id=""51""&gt;Remove Player&lt;/button&gt;
</code></pre>

<p>Then my JS would be something like:</p>

<pre><code>// Page-level execution to assign my click events
$(function() {
  $(""button.addPlayer"").on(""click"", function() {
    var id = $(this).attr(""data-id"");
    $(""#"" + id + ""Container"").css({'display':'inline-block'});
    $(""button.addPlayer[data-id='"" + id + ""']"").toggle();
    $(""button.removePlayer[data-id='"" + id + ""']"").toggle();
  });
  $(""button.removePlayer"").on(""click"", function() {
    var id = $(this).attr(""data-id"");
    $(""#"" + id + ""Container"").css({'display':'none'});
    $(""button.addPlayer[data-id='"" + id + ""']"").toggle();
    $(""button.removePlayer[data-id='"" + id + ""']"").toggle();
  });
})();
</code></pre>

<p>This will wire up the add/remove buttons with the corresponding player. Then, if you wish to have a button to hide/show multiple, you need only select the appropriate add/remove buttons (by filtering by data-id) and invoke their click events.</p>",0
43152843,Creating <select> with onchange and eventListener,"<p>How would I take this:</p>

<pre><code>&lt;select onchange='disable(this)'&gt; //options here  &lt;/select&gt;
</code></pre>

<p>and make it into a createElement and eventListener? I don't know how to add the onchange=""disable(this)"".</p>

<p>So far I have: </p>

<pre><code>var optionList = [""default"", ""yes"", ""no""];

var td = document.createElement(""td"");
selectList = document.createElement(""select"");
selectList.addEventListener(""change"", lockSelect, false);
td.appendChild(selectList);
newTableRow.appendChild(td);

for (var j = 0; j &lt; optionList.length; j++)
{
   option = document.createElement(""option"");
   option.value = optionList[j];
   option.text = optionList[j];
   selectList.appendChild(option);
 }
</code></pre>

<p>This makes the <code>&lt;select&gt;</code> and <code>&lt;options&gt;</code>, but I cant figure out how to make the <code>onchange=disable(this)</code></p>",javascript,"<p>You need to create a function for <code>lockSelect</code>. You have not show the function for <code>disable</code> so I have to guess.</p>

<p><code>lockSelect</code> should call <code>disable</code> passing the event target element to it.</p>

<p>It might be better to just change the disabled function to operate on an event object instead. and pass that directly to the event listener.</p>

<pre><code>function disable(e) {
  e.target.disabled = true
}
</code></pre>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var optionList = [""default"", ""yes"", ""no""];
var newTableRow = document.querySelector('tr')

function disable(element) {
  element.disabled = true
}

function lockSelect(e) {
  disable(e.target)
}

var td = document.createElement(""td"");
selectList = document.createElement(""select"");
selectList.addEventListener(""change"", lockSelect, false);
td.appendChild(selectList);
newTableRow.appendChild(td);

for (var j = 0; j &lt; optionList.length; j++) {
  option = document.createElement(""option"");
  option.value = optionList[j];
  option.text = optionList[j];
  selectList.appendChild(option);
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;table&gt;
  &lt;tr&gt;&lt;/tr&gt;
&lt;/table&gt;</code></pre>
</div>
</div>
</p>",1
43220776,"jQuery -.on(""click"") Not Working on Mobile","<p>I have a form that user can upload a file to the database. Unable to make <code>.on(""click"")</code> event on mobile device. It works fine on pc/laptop and the file is uploaded successful. On mobile, if I click the button, there is no response.</p>

<p><strong>Codes</strong></p>

<pre><code>$(document).on(""click"", ""#submit_upload"", function(){
    var data = new FormData(document.querySelector(""#fileInfo""));
    // If I comment below variables, 
    // it works fine on both mobile and computers.
    jab = data.get('jab'),
    kat_doc = data.get('jenis_fail'),
    doc_nama = data.get('nama'); 
    doc = data.get('file').size;

    $.ajax({
        url: url, 
        type: ""POST"",                   
        data: data,                     
        contentType: false,         
        cache: false,               
        processData:false,              
        success: function(data)         
        {
            $(""#cont"").html(data);

            if (!doc_nama) {
                $(""#nama-doc"").addClass(""list-group-item list-group-item-warning"");
            }

            if (jab == 0) {
                $(""#jab"").addClass(""list-group-item list-group-item-warning"");
            }

            if (kat_doc == 0) {
                $(""#kat-doc"").addClass(""list-group-item list-group-item-warning"");
            }

            if (!doc) {
                $(""#doc"").addClass(""list-group-item list-group-item-warning"");
            }

            $('#myModal').modal({backdrop: ""static""});
            $('#myModal').on('shown.bs.modal', function () {
                $('#myInput').focus();
            });

        }
    });

});
</code></pre>

<p><strong>Note:</strong> If I comment the variables <code>jab/kat_doc/doc_nama/doc</code>, it trigger the click event. </p>

<p>How do I want it to work with the variables?</p>",javascript|jquery,"<p>try this:</p>

<pre><code>$('#submit_upload').on('click', function(){...});
</code></pre>",-1
43220776,"jQuery -.on(""click"") Not Working on Mobile","<p>I have a form that user can upload a file to the database. Unable to make <code>.on(""click"")</code> event on mobile device. It works fine on pc/laptop and the file is uploaded successful. On mobile, if I click the button, there is no response.</p>

<p><strong>Codes</strong></p>

<pre><code>$(document).on(""click"", ""#submit_upload"", function(){
    var data = new FormData(document.querySelector(""#fileInfo""));
    // If I comment below variables, 
    // it works fine on both mobile and computers.
    jab = data.get('jab'),
    kat_doc = data.get('jenis_fail'),
    doc_nama = data.get('nama'); 
    doc = data.get('file').size;

    $.ajax({
        url: url, 
        type: ""POST"",                   
        data: data,                     
        contentType: false,         
        cache: false,               
        processData:false,              
        success: function(data)         
        {
            $(""#cont"").html(data);

            if (!doc_nama) {
                $(""#nama-doc"").addClass(""list-group-item list-group-item-warning"");
            }

            if (jab == 0) {
                $(""#jab"").addClass(""list-group-item list-group-item-warning"");
            }

            if (kat_doc == 0) {
                $(""#kat-doc"").addClass(""list-group-item list-group-item-warning"");
            }

            if (!doc) {
                $(""#doc"").addClass(""list-group-item list-group-item-warning"");
            }

            $('#myModal').modal({backdrop: ""static""});
            $('#myModal').on('shown.bs.modal', function () {
                $('#myInput').focus();
            });

        }
    });

});
</code></pre>

<p><strong>Note:</strong> If I comment the variables <code>jab/kat_doc/doc_nama/doc</code>, it trigger the click event. </p>

<p>How do I want it to work with the variables?</p>",javascript|jquery,"<p>change the first line of your function to below, and it should work:</p>

<pre><code>     $(document).on('click touchstart', '#submit_upload', function(){
</code></pre>

<p>Or give a try to this,</p>

<pre><code>     $(document).on('click touch', '#submit_upload', function(){
</code></pre>",0
43220776,"jQuery -.on(""click"") Not Working on Mobile","<p>I have a form that user can upload a file to the database. Unable to make <code>.on(""click"")</code> event on mobile device. It works fine on pc/laptop and the file is uploaded successful. On mobile, if I click the button, there is no response.</p>

<p><strong>Codes</strong></p>

<pre><code>$(document).on(""click"", ""#submit_upload"", function(){
    var data = new FormData(document.querySelector(""#fileInfo""));
    // If I comment below variables, 
    // it works fine on both mobile and computers.
    jab = data.get('jab'),
    kat_doc = data.get('jenis_fail'),
    doc_nama = data.get('nama'); 
    doc = data.get('file').size;

    $.ajax({
        url: url, 
        type: ""POST"",                   
        data: data,                     
        contentType: false,         
        cache: false,               
        processData:false,              
        success: function(data)         
        {
            $(""#cont"").html(data);

            if (!doc_nama) {
                $(""#nama-doc"").addClass(""list-group-item list-group-item-warning"");
            }

            if (jab == 0) {
                $(""#jab"").addClass(""list-group-item list-group-item-warning"");
            }

            if (kat_doc == 0) {
                $(""#kat-doc"").addClass(""list-group-item list-group-item-warning"");
            }

            if (!doc) {
                $(""#doc"").addClass(""list-group-item list-group-item-warning"");
            }

            $('#myModal').modal({backdrop: ""static""});
            $('#myModal').on('shown.bs.modal', function () {
                $('#myInput').focus();
            });

        }
    });

});
</code></pre>

<p><strong>Note:</strong> If I comment the variables <code>jab/kat_doc/doc_nama/doc</code>, it trigger the click event. </p>

<p>How do I want it to work with the variables?</p>",javascript|jquery,"<p>Think mobile a second...<br>
There is no mouse on a cell phone or tablet.<br></p>

<p><code>click</code> is definitely a mouse event.</p>

<p>Try adding those events to you handler:<br>
<em>(<a href=""https://developer.mozilla.org/en-US/docs/Web/API/Touch_events"" rel=""nofollow noreferrer"">Touch event reference</a>)</em></p>

<pre><code>$(document).on(""click tap touchstart"", ""#submit_upload"", function(){
</code></pre>

<p>This should do the trick.</p>",0
54512641,How to paste svg on svg,"<p>I need to make an image consist of two other SVGs, one as background and the other should be on the background in a certain position.</p>

<p>here is an example:</p>

<p><strong>background</strong></p>

<p><img src=""https://imgur.com/9iZyFnz.png"" alt=""background""></p>

<p><strong>some shape</strong></p>

<p><img src=""https://imgur.com/e5sirZo.png"" alt=""background""></p>

<p><strong>desired result</strong></p>

<p><img src=""https://imgur.com/lcFHIBf.png"" alt=""background""></p>

<p>I need to set the <em>shape SVG</em> position so it'd be possible to use various backgrounds. and if possible changing color of <em>backgrounds</em> and <em>shapes</em>.
actually, What's the best tool (Python, Nodejs or PHP) to modify SVGs like changing colors, resizing, merging, etc. </p>",javascript|python|node.js|svg,"<p>You can embed a SVG into another SVG as following:</p>

<pre><code>&lt;svg&gt;
    &lt;svg&gt;
        [...]
    &lt;/svg&gt;
&lt;/svg&gt;
</code></pre>

<p>I hope, this works for you</p>",0
54692023,Get transaction hash using async/await promises NodeJS,"<p>I want to fetch the transaction hash by running this code:</p>

<pre><code>const transactionId = await web3.eth.sendSignedTransaction('0x' + serializedTransaction.toString('hex') ).on('receipt', function(receipt) {
    return receipt.transactionHash;
});

// Now it is known the transaction ID, so let's build the public Etherscan url where the transaction details can be viewed.
const url = `https://rinkeby.etherscan.io/tx/${transactionId}`
console.log(url)
</code></pre>

<p>The code works for what concern the transactions, I can see them on Etherscan. The problem is about the JavaScript us of Promises.</p>

<p>I this case the console log outs:</p>

<pre><code>https://rinkeby.etherscan.io/tx/[object Object]
</code></pre>

<p>I tried different ways to obtain the transaction hash with no success. Can you help me? It could also be the right opportunity to better understand how the Promises work.</p>",javascript|node.js|asynchronous|promise,"<p>You are combining promises with event emmiters ( which is possible ), but I would suggest trying first promise-based, after that event-emmiter based approach. Afterwards you could experiment with mixture. :) </p>

<ol>
<li><p>promise based: </p>

<pre><code>async function fetch(){ const transactionID = await web3.eth.sendSignedTransaction('0x'+serializedTransaction.toString('hex'));return transactionID; }let a = fetch() a.then(response=&gt;console.log('transactionHash =&gt; ' + response)   .catch(error =&gt; console.log('error with sending transaction =&gt; ' + error);
</code></pre></li>
<li><p>event-emmiter based:</p>

<blockquote>
<pre><code>const transactionID = web3.eth.sendSignedTransaction('0x'+
serializedTransaction.toString('hex'))
.on('transactionHash',console.log) 
.on('receipt', console.log);
</code></pre>
</blockquote></li>
</ol>",1
54525147,"Expect a jest test to resolve, but don't care about the value","<p>Let's say I have the following fn that I want to test:</p>

<pre><code>const foo = async () =&gt; {}
</code></pre>

<p>This resolves of course, but how do I test that with Jest?</p>

<pre><code>it('resolves', async () =&gt; {
  expect(await foo()).???
});
</code></pre>

<p>All of the examples I can find require values, e.g. <code>expect(await foo()).resolves.toBe(42)</code></p>",javascript|testing|promise|jestjs,"<p>If you know that <code>foo()</code> always resolves to a value then you can use <code>.toBeDefined()</code>:</p>

<pre><code>it('resolves', async () =&gt; {
  await expect(foo()).resolves.toBeDefined();
});
</code></pre>

<p>This doesn't work if <code>foo()</code> completes using <code>return undefined</code> or <code>return</code> (without a value) or it doesn't use <code>return</code> at all.</p>

<p>In this case you cannot use <code>.resolves</code> but you can simply return the <code>Promise</code> returned by <code>foo()</code> and Jest takes care of the rest:</p>

<pre><code>it('resolves', () =&gt; {
  return foo();
});
</code></pre>

<h2>What is wrong with your code</h2>

<p>You have tried:</p>

<pre><code>expect(await foo()).resolves.toBe(42)
</code></pre>

<p>It doesn't work this way because the result of <code>await foo()</code> is not a <code>Promise</code> but the resolved value of the <code>Promise</code> returned by <code>foo()</code> (assuming it resolves).<br>
<code>.resolves.toBe()</code> expects a <code>Promise</code>, Jest complains and the test fails.</p>

<p>When <code>await</code> is in front of the <code>expect()</code>, <code>foo()</code> returns a <code>Promise</code>, <code>expect()</code> wraps it into a object whose <code>.resolves.toBe...()</code> returns another <code>Promise</code> and <code>await</code> awaits for it.</p>

<p>The general rule is: if you put <code>await</code> inside the call to <code>expect()</code> then you cannot use <code>.resolves</code> or <code>.rejects</code> because the value that <code>expect()</code> receives is not a <code>Promise</code>.
In order to use <code>.resolves</code> or <code>.rejects</code>, the <code>await</code> keyword should stay in front of the <code>expect()</code> call.
Alternatively you can <code>return</code> the <code>Promise</code> instead of <code>await</code>-ing for it.</p>

<p>Read more about <a href=""https://jestjs.io/docs/en/asynchronous#resolves-rejects"" rel=""nofollow noreferrer""><code>.resolves</code> and <code>.rejects</code></a>.</p>",3
45784225,setAttribute equal to the attribute value that's set in my conditions,"<p>Hi guys so I've run into a dilemma and not quite sure why my code is not working. i understand what its supposed to be doing. but its not doing what its supposed to. Please can someone see if they can debug my code. thanks a million.
its supposed to set the attribute based on which option is selected</p>

<p>HTML</p>

<pre><code>&lt;select id=""track_type_selected""&gt;
  &lt;option value=""0"" &gt;51 Track 3m&lt;/option&gt;
  &lt;option value=""1"" &gt;64 Track 3m&lt;/option&gt;
  &lt;option value=""2"" &gt;103 Track 3m&lt;/option&gt;
&lt;/select&gt;
</code></pre>

<p>  </p>

<p>Javascript</p>

<pre><code>var e = document.getElementById(""track_type_selected"");
  var selectedIndex = e.options[e.selectedIndex].value;
  if(selectedIndex==0){
      $(""#required_tracks_id"").setAttribute(""sku"",""TRACK3"");
  }
  if(selectedIndex==1){
      $(""#required_tracks_id"").setAttribute(""sku"",""TRK30"");
  }
  if(selectedIndex==2){
      $(""#required_tracks_id"").setAttribute(""sku"",""TRACK-1033"");
  }
</code></pre>",javascript|jquery,"<p>The reason it didn't work was because you were mixing vanilla JS with jQuery. You obtained the #required_tracks_id via jQuery selector, but setAttribute() is a JS function. So, you could do either of these:</p>

<pre><code>document.querySelector(""#required_tracks_id"").setAttribute(""sku"", ""xxx"");
</code></pre>

<p>Or</p>

<pre><code>$(""#required_tracks_id"").attr(""sku"", ""xxx"");
</code></pre>",1
45784225,setAttribute equal to the attribute value that's set in my conditions,"<p>Hi guys so I've run into a dilemma and not quite sure why my code is not working. i understand what its supposed to be doing. but its not doing what its supposed to. Please can someone see if they can debug my code. thanks a million.
its supposed to set the attribute based on which option is selected</p>

<p>HTML</p>

<pre><code>&lt;select id=""track_type_selected""&gt;
  &lt;option value=""0"" &gt;51 Track 3m&lt;/option&gt;
  &lt;option value=""1"" &gt;64 Track 3m&lt;/option&gt;
  &lt;option value=""2"" &gt;103 Track 3m&lt;/option&gt;
&lt;/select&gt;
</code></pre>

<p>  </p>

<p>Javascript</p>

<pre><code>var e = document.getElementById(""track_type_selected"");
  var selectedIndex = e.options[e.selectedIndex].value;
  if(selectedIndex==0){
      $(""#required_tracks_id"").setAttribute(""sku"",""TRACK3"");
  }
  if(selectedIndex==1){
      $(""#required_tracks_id"").setAttribute(""sku"",""TRK30"");
  }
  if(selectedIndex==2){
      $(""#required_tracks_id"").setAttribute(""sku"",""TRACK-1033"");
  }
</code></pre>",javascript|jquery,"<p>In JQuery you can use attr function to get or set any element Attribute to get an element attribute like this.</p>

<pre><code>$(""#required_tracks_id"").attr(""sku"");
</code></pre>

<p>and to set an element attribute</p>

<pre><code>$(""#required_tracks_id"").attr(""sku"", ""Value"");
</code></pre>

<p>in your case use code as bellow</p>

<pre><code>var e = document.getElementById(""track_type_selected"");
var selectedIndex = e.options[e.selectedIndex].value;
if(selectedIndex==0){
    $(""#required_tracks_id"").attr(""sku"",""TRACK3"");
}
if(selectedIndex==1){
    $(""#required_tracks_id"").attr(""sku"",""TRK30"");
}
if(selectedIndex==2){
    $(""#required_tracks_id"").attr(""sku"",""TRACK-1033"");
}
</code></pre>",1
