id,title,body,tags,answers,score
56064441,How do I show timer on click of link?,"<p>So if you notice I have created a link in the preview below. What I'm looking for is if someone clicks on the link. I want to replace the text for a 60 seconds timer, and once the 60 seconds are finished, the text and link should reappear, and the same process continues.</p>

<p>Can someone help?</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;a href=""javascript:void(1);""&gt;Request code again&lt;/a&gt;</code></pre>
</div>
</div>
</p>",javascript|jquery|html,"<p>You can use javascript <code>setInterval</code> and then <code>clearInterval</code> for this.</p>

<p>Your code while using jQuery should look like this: (change the value of <code>timer_output_initial</code> to time in number of seconds you want)</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>    var display_timer_interval;
    var timer_output_initial = 5
    var timer_output = timer_output_initial;
    var initial_text = """";
    $(""#timer_link"").on(""click"",function(){
      var clicked_element = $(this);
      initial_text = clicked_element.html();
      display_timer_interval = setInterval(function(){
        display_time(clicked_element);
      }, 1000);
    });
    
    function display_time(element){
        timer_output = timer_output-1;
        if(timer_output === 0) {
          clearInterval(display_timer_interval);
          timer_output = timer_output_initial;
          element.html(initial_text);
        }else{
          $(element).html(timer_output);
        }
    }</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;!DOCTYPE html&gt;
&lt;html&gt;
&lt;head&gt;
  &lt;meta charset=""utf-8""&gt;
  &lt;meta name=""viewport"" content=""width=device-width""&gt;
  &lt;title&gt;JS Bin&lt;/title&gt;
  &lt;script src=""https://code.jquery.com/jquery-3.1.0.js""&gt;&lt;/script&gt;
&lt;/head&gt;
&lt;body&gt;
  
  &lt;a href=""javascript:void(1);"" id=""timer_link""&gt;Request code again&lt;/a&gt;

&lt;/body&gt;
&lt;/html&gt;</code></pre>
</div>
</div>
</p>",1
16799837,Setting Highcharts maximum Y value to an exact amount without rounding,"<p>Every time I set my min and max values in Highcharts, I never get graphs with the exact min and max that I sent, but always something somewhat close. It seems as though Highcharts is picking a interval range for the axes and if my maximum doesn't conform to the right interval, it gets ignored or rounded off.</p>

<p>For example, if I set a min of 0 and a max of 3125 for a Y axis, I get a Y axis starting with 0 then going up in increments of 500 to a maximum of 3500, which is not at all what I want.</p>

<p>Can I get the chart to use an exact maximum or will it always round up in some wierd way?</p>",jquery|highcharts,"<p>You can use <a href=""http://api.highcharts.com/highcharts#yAxis.tickPositioner"" rel=""nofollow"">http://api.highcharts.com/highcharts#yAxis.tickPositioner</a> or set min/max values with tickInterval as jlbriggs introdued.</p>",1
16799837,Setting Highcharts maximum Y value to an exact amount without rounding,"<p>Every time I set my min and max values in Highcharts, I never get graphs with the exact min and max that I sent, but always something somewhat close. It seems as though Highcharts is picking a interval range for the axes and if my maximum doesn't conform to the right interval, it gets ignored or rounded off.</p>

<p>For example, if I set a min of 0 and a max of 3125 for a Y axis, I get a Y axis starting with 0 then going up in increments of 500 to a maximum of 3500, which is not at all what I want.</p>

<p>Can I get the chart to use an exact maximum or will it always round up in some wierd way?</p>",jquery|highcharts,"<p>Set the <a href=""http://api.highcharts.com/highcharts#yAxis.endOnTick"" rel=""nofollow"">endOnTick</a> property to false.</p>",3
16799837,Setting Highcharts maximum Y value to an exact amount without rounding,"<p>Every time I set my min and max values in Highcharts, I never get graphs with the exact min and max that I sent, but always something somewhat close. It seems as though Highcharts is picking a interval range for the axes and if my maximum doesn't conform to the right interval, it gets ignored or rounded off.</p>

<p>For example, if I set a min of 0 and a max of 3125 for a Y axis, I get a Y axis starting with 0 then going up in increments of 500 to a maximum of 3500, which is not at all what I want.</p>

<p>Can I get the chart to use an exact maximum or will it always round up in some wierd way?</p>",jquery|highcharts,"<p>There are a couple of things that you can do.</p>

<p>1) set your tickInterval to a number that divides evenly into your max</p>

<p>2) set 'endOnTick' to false for your y axis, and set your maxPadding to 0.  This will set the chart max to your specification, regardless of where the last tick falls.</p>

<p><a href=""http://api.highcharts.com/highcharts#yAxis.tickInterval"" rel=""noreferrer"">http://api.highcharts.com/highcharts#yAxis.tickInterval</a></p>

<p><a href=""http://api.highcharts.com/highcharts#yAxis.maxPadding"" rel=""noreferrer"">http://api.highcharts.com/highcharts#yAxis.maxPadding</a></p>

<p><a href=""http://api.highcharts.com/highcharts#yAxis.endOnTick"" rel=""noreferrer"">http://api.highcharts.com/highcharts#yAxis.endOnTick</a></p>",8
16562393,Absolute center an element without knowing it's height,"<p>I need to center an element (Vertically and horizontally) and while I know it's width, it's height is likely to change.</p>

<p>I've searched Google all morning and everything I've found seems to say that I need to know the height.</p>

<p>Is there a jQuery method I could use, I don't really want to start using the <code>table-cell</code> property</p>",jquery|css,"<p>With CSS it's possible with <a href=""https://developer.mozilla.org/en-US/docs/Web/Guide/CSS/Flexible_boxes"" rel=""nofollow"">flexible boxes</a>, but it doesn't work on IE yet:</p>

<pre><code>.container{
  display: flex;
  min-height: 100%;  /* &lt;- or whatever height the container has */
}

.centered{
  margin: auto;     
}
</code></pre>

<p><a href=""http://jsfiddle.net/Ku8vs/"" rel=""nofollow"">(fiddle)</a></p>",0
16562393,Absolute center an element without knowing it's height,"<p>I need to center an element (Vertically and horizontally) and while I know it's width, it's height is likely to change.</p>

<p>I've searched Google all morning and everything I've found seems to say that I need to know the height.</p>

<p>Is there a jQuery method I could use, I don't really want to start using the <code>table-cell</code> property</p>",jquery|css,"<p>You can use <a href=""http://api.jquery.com/outerHeight/"" rel=""nofollow"">jQuery.outerHeight</a> to dynamically fetch an element's height attribute.</p>",0
16562393,Absolute center an element without knowing it's height,"<p>I need to center an element (Vertically and horizontally) and while I know it's width, it's height is likely to change.</p>

<p>I've searched Google all morning and everything I've found seems to say that I need to know the height.</p>

<p>Is there a jQuery method I could use, I don't really want to start using the <code>table-cell</code> property</p>",jquery|css,"<p>You can just use:</p>

<pre><code>$(""#whatever"").height();
</code></pre>

<p>Which will tell you the height of the object. If it changes then you can just call it again and re-center.</p>",0
16562393,Absolute center an element without knowing it's height,"<p>I need to center an element (Vertically and horizontally) and while I know it's width, it's height is likely to change.</p>

<p>I've searched Google all morning and everything I've found seems to say that I need to know the height.</p>

<p>Is there a jQuery method I could use, I don't really want to start using the <code>table-cell</code> property</p>",jquery|css,"<pre><code>&lt;table style=""width: 100%; height:100%;""&gt;
&lt;tr&gt;
 &lt;td style=""text-align: center; vertical-align: middle;""&gt;
      /*code here*/
 &lt;/td&gt;
&lt;/tr&gt;
&lt;/table&gt;
</code></pre>

<p>I think this is the most ""general &amp; all terrain"" way.</p>",0
16562393,Absolute center an element without knowing it's height,"<p>I need to center an element (Vertically and horizontally) and while I know it's width, it's height is likely to change.</p>

<p>I've searched Google all morning and everything I've found seems to say that I need to know the height.</p>

<p>Is there a jQuery method I could use, I don't really want to start using the <code>table-cell</code> property</p>",jquery|css,"<p>You can read up on this little article on vertical centering with div tags.
Take a look of this link <a href=""http://www.jakpsatweb.cz/css/css-vertical-center-solution.html"" rel=""nofollow noreferrer"">http://www.jakpsatweb.cz/css/css-vertical-center-solution.html</a>
and also check this similar question 
<a href=""https://stackoverflow.com/questions/396145/whats-the-best-way-of-centering-a-div-vertically-with-css"">How to vertically center a div for all browsers?</a></p>",1
16562393,Absolute center an element without knowing it's height,"<p>I need to center an element (Vertically and horizontally) and while I know it's width, it's height is likely to change.</p>

<p>I've searched Google all morning and everything I've found seems to say that I need to know the height.</p>

<p>Is there a jQuery method I could use, I don't really want to start using the <code>table-cell</code> property</p>",jquery|css,"<p>you dont need any js for this 
this is pretty simple </p>

<p>*note that this will work with img like object which have height and width fixed but not know to us and for text u need to use js to run it cross browser correctly</p>

<p>have a look to this fiddle <a href=""http://jsfiddle.net/Ukvfw/"" rel=""nofollow"">http://jsfiddle.net/Ukvfw/</a>
and with smaller image same code <a href=""http://jsfiddle.net/Ukvfw/1/"" rel=""nofollow"">http://jsfiddle.net/Ukvfw/1/</a></p>

<p>here is the code </p>

<p>html - (you can change the image link and try with any height and width)</p>

<pre><code>&lt;div class=""parent""&gt;
    &lt;img class=""child"" src=""http://wiki.guildwars.com/images/thumb/6/60/User_Jette_awesome.svg/2048px-User_Jette_awesome.svg.png"" /&gt;
&lt;/div&gt;
</code></pre>

<p>css - </p>

<pre><code>.parent{
 width:300px;
 height:300px;
 position:relative;
 border:1px solid red;
 padding:10px;
}

.child{
 position: absolute;
 top:0;
 left:0;
 right:0;
 bottom:0;
 margin:auto;
 max-height:300px;
 max-width:300px;
}
</code></pre>",0
