id,title,body,tags,answers,score
33824811,How can I avoid code duplication by using OOP or SOLID principles?,"<p>I have the following class and interface for him:</p>

<pre><code>public class A // int wrapper
{
    private int _a;

    public A(int a)
    {
        _a = a;
    }
}

interface IProgram
{
    int a();

    A b();
}

public class Program : IProgram
{
    public int a()
    {
       int b = 0;
       b++;
       return b;
    }

    public A b()
    {
        int b = 0;
        b++;
        return new A(b);
    }
}
</code></pre>

<p>Two methods do the same thing: just increase <code>b</code>.</p>

<p>How can I avoid code duplication and change my interface?</p>",c#|oop,"<p>Create a private method which iterates int b and returns it, then call that method from a() and b()</p>",1
33475992,System.Windows.MessageBox: Yes Button is missing,"<p>In my WPF Application (.NET 3.5) I create a MessageBox like this:</p>

<pre><code>if (System.Windows.MessageBox.Show(""Eine neue Version von Qualisoft steht zum Download bereit. Möchten Sie diese installieren?"", ""Neue Qualisoft Version"", MessageBoxButton.YesNo) == MessageBoxResult.Yes)
{
...
}
</code></pre>

<p>One of my customers get this result:</p>

<p><img src=""https://i.stack.imgur.com/PjOPG.jpg"" alt=""""></p>

<p>I tested this on about 10 systems and I cant reproduce this result.</p>

<p>Does anyone know why the Yes Button is missing?</p>",c#|wpf,"<p>Your customer is playing a prank on you and sent you a photo-shopped screenshot.  Probably a not-so-subtle hint that he's a bit tired of having to constantly deal with new versions.  Something like that.</p>

<p>The native MessageBox() winapi function does not have an option to <em>only</em> display the No button.</p>

<p>Just prank him right back and recommend he drags the machine to a 4th story window and let it slip.  With the advice that opening the window first is entirely optional.</p>",2
33475992,System.Windows.MessageBox: Yes Button is missing,"<p>In my WPF Application (.NET 3.5) I create a MessageBox like this:</p>

<pre><code>if (System.Windows.MessageBox.Show(""Eine neue Version von Qualisoft steht zum Download bereit. Möchten Sie diese installieren?"", ""Neue Qualisoft Version"", MessageBoxButton.YesNo) == MessageBoxResult.Yes)
{
...
}
</code></pre>

<p>One of my customers get this result:</p>

<p><img src=""https://i.stack.imgur.com/PjOPG.jpg"" alt=""""></p>

<p>I tested this on about 10 systems and I cant reproduce this result.</p>

<p>Does anyone know why the Yes Button is missing?</p>",c#|wpf,"<p>This issue is <strong>NOT</strong> (directly) related to .NET. WPF actually redirects the call to the <a href=""https://msdn.microsoft.com/en-us/library/windows/desktop/ms645505(v=vs.85).aspx"" rel=""nofollow"">operating system</a>, to be specific by <a href=""http://referencesource.microsoft.com/#PresentationFramework/src/Framework/System/Windows/MessageBox.cs,508"" rel=""nofollow"">this call</a>:</p>

<pre><code>UnsafeNativeMethods.MessageBox(...)
</code></pre>

<p>There can be other things that go wrong. This might be caused by a language pack or something, but I doubt that. Also video card drivers sometimes mess up UI controls. There is not much to go on now since it can't be reproduced easily.</p>

<p>You have to go check by taking out parts that might be the issue. Start in safe mode and check if the issue persists. Try to make a new default application with just this call. Is the behavior still the same? Then continue. Else something in your code might be causing this.</p>",3
43590896,ASP.net MVC - Call other controller from view,"<p>try to call from view in ""Transaction"" controller, The other ""CreditCard"" controller:</p>

<pre><code>@(Url.Action(""ShowImage"", ""CreditCard""))/"" + ConcatString
</code></pre>

<p>from src propery of IMG tag.
but because it from other controller the URL is invalid.
Insted Of:</p>

<pre><code>/creditcard/showimage/45809014157220320
</code></pre>

<p>Its:</p>

<pre><code>/Transaction/TransactionToPDF/creditcard/showimage/45809014157220320
</code></pre>",c#|asp.net|asp.net-mvc,"<p>Of course you can use Html.Action helper. But it is easier for me to do it like this. </p>

<pre><code>   &lt;img src=""/CreditCard/ShowImage/@ConcatString"" class=""img float-xs-right"" width=""350"" height=""380"" id=""creditCardImage"" /&gt; 
</code></pre>",0
43590896,ASP.net MVC - Call other controller from view,"<p>try to call from view in ""Transaction"" controller, The other ""CreditCard"" controller:</p>

<pre><code>@(Url.Action(""ShowImage"", ""CreditCard""))/"" + ConcatString
</code></pre>

<p>from src propery of IMG tag.
but because it from other controller the URL is invalid.
Insted Of:</p>

<pre><code>/creditcard/showimage/45809014157220320
</code></pre>

<p>Its:</p>

<pre><code>/Transaction/TransactionToPDF/creditcard/showimage/45809014157220320
</code></pre>",c#|asp.net|asp.net-mvc,"<p>I think you have an ""Area"" issue.  If they are in different areas, you should be able to do this:</p>

<pre><code>@(Url.Action(""ShowImage"", ""CreditCard"", new { area = """" }))/"" + ConcatString
</code></pre>",0
43590896,ASP.net MVC - Call other controller from view,"<p>try to call from view in ""Transaction"" controller, The other ""CreditCard"" controller:</p>

<pre><code>@(Url.Action(""ShowImage"", ""CreditCard""))/"" + ConcatString
</code></pre>

<p>from src propery of IMG tag.
but because it from other controller the URL is invalid.
Insted Of:</p>

<pre><code>/creditcard/showimage/45809014157220320
</code></pre>

<p>Its:</p>

<pre><code>/Transaction/TransactionToPDF/creditcard/showimage/45809014157220320
</code></pre>",c#|asp.net|asp.net-mvc,"<p>Wild guess, your Action doesn't accept a <code>null</code> for the image id? Rather than trying to add <code>concatstring</code> try specifying the parameter e.g.,</p>

<pre><code>@Url.Action(""ShowImage"", ""CreditCard"", new { ImageId= ConcatString }) 
</code></pre>

<p>Again, depending on what the allowed parameters are for the Action this should let the correct URL be resolved by the routing system</p>",1
43523653,Why do I get a Format Exception when comparing int and float values?,"<p>I don't know why but I am getting a <code>FormatException</code> when comparing two values. Could someone tell me what I am doing wrong? I already tried to make both values float, yet the same exception... </p>

<pre><code>float label1 = float.Parse(label15.Text);
int box1 = int.Parse(textBox23.Text);

if (label1 &lt;= box1)
{
    //Do things""
}
</code></pre>",c#|parsing|formatexception,"<p>You've got yourself in a corner without using proper exception handling. </p>

<pre><code>    float label1 = float.Parse(label15.Text);  //problem 1
    int box1 = int.Parse(label15.Text);  //problem 2

    if (label1 &lt;= box1)  //problem 3
    {
    //Do things""
    }
</code></pre>

<p>Problems 1 and 2 are that you aren't ensuring your UI is giving you values that you can parse.  That will throw exceptions.  Problem 3 is that since you don't know if your parsing was successful, you don't know if you can even make the comparison.   Try <code>TryParse()</code>.</p>

<pre><code>    float label1 = 0;

                int box1 = 0;

                if(float.TryParse(label15.Text, out label1)
                    &amp;&amp;  int.TryParse(label15.Text, out box1))
                {
                   if (label1 &lt;= box1)
                   {
                   //Do things""
                   }
                }
</code></pre>

<p>The <code>TryParse()</code> function populates your existing variables as <code>out</code> parameters, but returns a <code>bool</code>.  This returns as <code>false</code> if the parse fails, and allows the code to continue.  By making these succeeding an <code>if</code> condition, we sidestep errors entirely. </p>

<p>You can also always wrap your code in a <code>try-catch block</code> to determine the cause of any exception and generate output, but you never want that to manage your logical flow.  You'd use that to troubleshoot this problem, and what I posted as a possible solution. </p>",1
43523653,Why do I get a Format Exception when comparing int and float values?,"<p>I don't know why but I am getting a <code>FormatException</code> when comparing two values. Could someone tell me what I am doing wrong? I already tried to make both values float, yet the same exception... </p>

<pre><code>float label1 = float.Parse(label15.Text);
int box1 = int.Parse(textBox23.Text);

if (label1 &lt;= box1)
{
    //Do things""
}
</code></pre>",c#|parsing|formatexception,"<p><a href=""https://msdn.microsoft.com/en-us/library/system.formatexception(v=vs.110).aspx"" rel=""nofollow noreferrer"">FormatException</a></p>

<blockquote>
  <p>The exception that is thrown when the format of an argument is
  invalid, or when a composite format string is not well formed.</p>
</blockquote>

<p>the error is because whatever the value of <code>label15</code> / <code>textBox23</code> is, it is not a valid number.</p>

<p>use <a href=""https://msdn.microsoft.com/en-us/library/system.single.tryparse(v=vs.110).aspx"" rel=""nofollow noreferrer""><code>float.TryParse</code></a> and <a href=""https://msdn.microsoft.com/en-us/library/f02979c7(v=vs.110).aspx"" rel=""nofollow noreferrer""><code>int.TryParse</code></a> respectively as they don't throw exceptions:</p>

<pre><code>float label1;
if(label15.Text, out label1){
  // do something
}

int box1;
if(textBox23.Text, out box1){
   // do something
}
</code></pre>

<p>though, you'll still need to ensure that <code>label15</code> / <code>textBox23</code> is a parsable value, otherwise control will not go inside the <code>if</code> statements.</p>",2
43523653,Why do I get a Format Exception when comparing int and float values?,"<p>I don't know why but I am getting a <code>FormatException</code> when comparing two values. Could someone tell me what I am doing wrong? I already tried to make both values float, yet the same exception... </p>

<pre><code>float label1 = float.Parse(label15.Text);
int box1 = int.Parse(textBox23.Text);

if (label1 &lt;= box1)
{
    //Do things""
}
</code></pre>",c#|parsing|formatexception,"<p>The <a href=""https://msdn.microsoft.com/en-US/library/bh4863by(v=vs.110).aspx"" rel=""nofollow noreferrer"">float.Parse</a> method can take a second parameter. </p>

<p><sub>Assuming you are looking for German number parsing based on your profile.</sub></p>

<p>So if you want to parse German number formats, make sure the method knows that (because by US standards, ""2,5"" is not a floating point number... there's not even a <em>point</em> to start with).</p>

<p>In theory, your <code>System.Globalization.CultureInfo.CurrentCulture</code> should already be what you need. In case it's not, you can create a culture you need:</p>

<p>This should work fine:</p>

<pre><code>float f = float.Parse(""2,5"", new System.Globalization.CultureInfo(""de-DE""))
</code></pre>

<p>Keep in mind that despite your best efforts, people might still just enter garbage in your textbox, so you should keep an eye out for <a href=""https://msdn.microsoft.com/en-US/library/0xh24xh4(v=vs.110).aspx"" rel=""nofollow noreferrer"">TryParse</a> as mentioned in the other answers. But even there: watch out for the correct culture to parse your numbers.</p>",1
17770699,How to change DateTime to Local GMT DateTime in asp:BoundField?,"<p>I have a <strong>asp:GridView</strong> and it has a <strong>asp:BoundField</strong> that contains DateTime data comming form database. now here i want to show this DateTime to my local GMT DateTime only for view purpose.</p>

<p>I think it should need a client side solution.</p>

<p>source is below,</p>

<pre><code> &lt;asp:BoundField HeaderText=""Registration Date"" DataField=""RegisteredDate"" DataFormatString=""{0:MM/dd/yyyy hh:mm:ss}"" /&gt;
</code></pre>

<p>here <strong>RegisteredDate</strong> is the <strong>CurrentDateTime</strong> from database under <strong>DataField</strong></p>

<p>Any help will be appreciated.</p>",c#|javascript|jquery|asp.net,"<p>You can try it by using label  below and 
<a href=""http://msdn.microsoft.com/en-us/library/bb397769.aspx"" rel=""nofollow"">Time Zone Conversions in c#</a></p>

<pre><code>&lt;asp:TemplateField HeaderText=""Registration Date""&gt;
&lt;ItemTemplate&gt;
&lt;asp:Label runat=""server"" Text='&lt;%#Convert.ToDateTime(Eval(""RegisteredDate"")).ToLocalTime()%&gt;'/&gt;
&lt;/ItemTemplate&gt;      
&lt;/asp:TemplateField&gt;
</code></pre>",2
