id,title,body,tags,answers,score
46660924,MySQL SET rank over First Column and Second Column,"<p>I'm trying to make a query setting rank column by First and Second column. Like Rank over Partition which doesn't exist MySQL</p>

<p>For example,</p>

<p>From</p>

<pre><code>+----+-------+--------+------+
| id | First | Second | Rank |
+----+-------+--------+------+
|  1 | a     |     10 |      |
|  2 | a     |      9 |      |
|  3 | b     |     10 |      |
|  4 | b     |      7 |      |
|  5 | a     |      1 |      |
|  6 | b     |      1 |      |
+----+-------+--------+------+
</code></pre>

<p>To</p>

<pre><code>+----+-------+--------+------+
| id | First | Second | Rank |
+----+-------+--------+------+
|  1 | a     |     10 |    3 |
|  2 | a     |      9 |    2 |
|  3 | b     |     10 |    3 |
|  4 | b     |      7 |    2 |
|  5 | a     |      1 |    1 |
|  6 | b     |      1 |    1 |
+----+-------+--------+------+
</code></pre>

<p>The Rank doesn't continue. It starts from 1 again when it reaches the last value of 'a' of 'First' column.</p>

<p>And it's gotta be SET not SELECT.
I wouldn't mind using SELECT but my point is I'm not trying to retrieve data from Database but setting values.</p>

<p>Cheers in advance mates.</p>",mysql|set|rank|partition,"<p>One method is a correlated subquery.  For <code>rank()</code> you can do:</p>

<pre><code>select t.*,
       (select count(*) + 1
        from t t2
        where t2.first = t.first and t2.second &lt; t.second
       ) as rank
from t;
</code></pre>

<p>Ranks are tricky to handle with variables (<code>dense_rank()</code> and <code>row_number()</code> are simpler).</p>

<p>EDIT:</p>

<p>This is easy to turn into an <code>update</code>:</p>

<pre><code>update t join
       (select t.*,
               (select count(*) + 1
                from t t2
                where t2.first = t.first and t2.second &lt; t.second
               ) as new_rank
        from t
       ) tt
       on t.id = tt.id
    set t.rank = tt.new_rank;
</code></pre>",0
46660924,MySQL SET rank over First Column and Second Column,"<p>I'm trying to make a query setting rank column by First and Second column. Like Rank over Partition which doesn't exist MySQL</p>

<p>For example,</p>

<p>From</p>

<pre><code>+----+-------+--------+------+
| id | First | Second | Rank |
+----+-------+--------+------+
|  1 | a     |     10 |      |
|  2 | a     |      9 |      |
|  3 | b     |     10 |      |
|  4 | b     |      7 |      |
|  5 | a     |      1 |      |
|  6 | b     |      1 |      |
+----+-------+--------+------+
</code></pre>

<p>To</p>

<pre><code>+----+-------+--------+------+
| id | First | Second | Rank |
+----+-------+--------+------+
|  1 | a     |     10 |    3 |
|  2 | a     |      9 |    2 |
|  3 | b     |     10 |    3 |
|  4 | b     |      7 |    2 |
|  5 | a     |      1 |    1 |
|  6 | b     |      1 |    1 |
+----+-------+--------+------+
</code></pre>

<p>The Rank doesn't continue. It starts from 1 again when it reaches the last value of 'a' of 'First' column.</p>

<p>And it's gotta be SET not SELECT.
I wouldn't mind using SELECT but my point is I'm not trying to retrieve data from Database but setting values.</p>

<p>Cheers in advance mates.</p>",mysql|set|rank|partition,"<pre><code>DROP TABLE IF EXISTS my_table;

CREATE TABLE my_table
(id INT NOT NULL AUTO_INCREMENT PRIMARY KEY
,first CHAR(1) NOT NULL
,second INT NOT NULL
);

INSERT INTO my_table VALUES
(1,'a',10),
(2,'a',9),
(3,'b',10),
(4,'b',7),
(5,'a',1),
(6,'b',1);

SELECT id
     , first
     , second
     , rank 
  FROM 
     ( SELECT x.* 
            , CASE WHEN @prev = first THEN @i:=@i+1 ELSE @i:=1 END rank
            , @prev:=first 
         FROM my_table x
            , (SELECT @prev:=null,@i:=0) vars 
        ORDER 
           BY first
            , second
            , id
     ) a
 ORDER 
    BY id;
+----+-------+--------+------+
| id | first | second | rank |
+----+-------+--------+------+
|  1 | a     |     10 |    3 |
|  2 | a     |      9 |    2 |
|  3 | b     |     10 |    3 |
|  4 | b     |      7 |    2 |
|  5 | a     |      1 |    1 |
|  6 | b     |      1 |    1 |
+----+-------+--------+------+
6 rows in set (0.00 sec)
</code></pre>",0
46660924,MySQL SET rank over First Column and Second Column,"<p>I'm trying to make a query setting rank column by First and Second column. Like Rank over Partition which doesn't exist MySQL</p>

<p>For example,</p>

<p>From</p>

<pre><code>+----+-------+--------+------+
| id | First | Second | Rank |
+----+-------+--------+------+
|  1 | a     |     10 |      |
|  2 | a     |      9 |      |
|  3 | b     |     10 |      |
|  4 | b     |      7 |      |
|  5 | a     |      1 |      |
|  6 | b     |      1 |      |
+----+-------+--------+------+
</code></pre>

<p>To</p>

<pre><code>+----+-------+--------+------+
| id | First | Second | Rank |
+----+-------+--------+------+
|  1 | a     |     10 |    3 |
|  2 | a     |      9 |    2 |
|  3 | b     |     10 |    3 |
|  4 | b     |      7 |    2 |
|  5 | a     |      1 |    1 |
|  6 | b     |      1 |    1 |
+----+-------+--------+------+
</code></pre>

<p>The Rank doesn't continue. It starts from 1 again when it reaches the last value of 'a' of 'First' column.</p>

<p>And it's gotta be SET not SELECT.
I wouldn't mind using SELECT but my point is I'm not trying to retrieve data from Database but setting values.</p>

<p>Cheers in advance mates.</p>",mysql|set|rank|partition,"<p>Came up with a solution which I was looking for.
I'm not sure if these queries are completely safe but so far no harms.</p>

<pre><code>SET @rank = 0, @First = ''
UPDATE 'Table' SET 
rank = IF(@First = First, @rank:= @rank +1, @rank := 1 AND @First := First)
ORDER BY First ASC, Second;
</code></pre>",0
46511252,MySQL-Update-Function Inserts New Row,"<p>I am working on a page updating database-entries. Should work, but it doesn't. Instead of updating data it creates a new entry. </p>

<p><strong>Explanation</strong>: usually the code should let me update the existing entry. That's why I use WHERE c.id='$ceid'. But even though I am updating the entry with ID 15 I then have a new entry with the ID 16.</p>

<pre><code>UPDATE customer AS c SET c.company='$company', 
                                        c.contractnumber='$contractnumber',
                                        c.delivery='$delivery',
                                        c.quit='$quit',
                                        c.unsubscription='$quitdate',
                                        c.alert='$alert' 
                    WHERE c.id='$ceid'
</code></pre>

<p>So the MySQL-query is right so far as it seems. </p>

<p>So the problem must be somewhere else, before or after the query. Most likely it happens before the query as I used to outcomment the if(!emtpy...)-part. But what is it?</p>

<pre><code>    &lt;html&gt;
&lt;head&gt;
&lt;meta charset=""UTF-8""&gt;
&lt;link rel=""stylesheet"" href=""https://www.w3schools.com/w3css/4/w3.css""&gt;
&lt;script type=""text/javascript"" charset=""utf-8"" src=""http://code.jquery.com/jquery-latest.min.js""&gt;&lt;/script&gt;
&lt;/head&gt;
&lt;?
    $link = mysqli_connect(""server"", ""user"", ""pw"", ""db"");
?&gt;
&lt;body&gt;

&lt;h1&gt;Kundenansicht&lt;/h1&gt;
&lt;p&gt;Kundennummer &lt;?php echo $_GET[""id""]; ?&gt;&lt;/p&gt;
&lt;p&gt;&lt;?php echo $_GET[""name""]; echo "" ""; echo $_GET[""surname""]; ?&gt;&lt;/p&gt;
&lt;p&gt;Vertrag &lt;?php echo $_GET[""cid""]; ?&gt;&lt;/p&gt;
&lt;?

$uid = $_GET[""id""];
echo $uid;
echo ""&lt;br&gt;"";
$name = $_GET[""name""];
$surname = $_GET[""surname""];
$cid = $_GET[""cid""];
echo ""CID: "";
echo $cid;
echo ""&lt;br&gt;"";
        if ($link-&gt;connect_error) {
             die(""Connection failed: "" . $link-&gt;connect_error);
        } 
        mysqli_set_charset($link,""utf8"");

        $sql = ""SELECT * FROM customer WHERE id ='"".$cid.""' AND custnumber = '"".$uid.""'"";
        $result = mysqli_query($link,$sql) or die (mysqli_error());
        $row = mysqli_fetch_assoc($result);






?&gt;


      &lt;div id=""AddContract"" class=""w3-container""&gt;
        &lt;form action=""customerview.php?id=&lt;? echo $uid ?&gt;&amp;name=&lt;? echo $name ?&gt;&amp;surname=&lt;? echo $surname ?&gt;""  method=""post""&gt;
            &lt;label&gt;ID&lt;/label&gt; &lt;!-- e.g. PluSStrom--&gt;
            &lt;input class=""w3-input w3-border"" type=""number"" name=""id"" id=""id"" value=""&lt;? echo $row[""id""]; ?&gt;""&gt;
            &lt;label&gt;Anbieter&lt;/label&gt; &lt;!-- e.g. PluSStrom--&gt;
            &lt;input class=""w3-input w3-border"" type=""text"" name=""company"" id=""company"" value=""&lt;? echo $row[""company""]; ?&gt;""&gt;
            &lt;label&gt;Vertragsnummer&lt;/label&gt; &lt;!-- Vertragsnummer--&gt;
            &lt;input class=""w3-input w3-border"" type=""number"" name=""contractnumber"" id=""contractnumber"" value=""&lt;? echo $row[""contractnumber""]; ?&gt;""&gt;   
            &lt;label&gt;Lieferdatum&lt;/label&gt; &lt;!-- Kündigungsfrist in Wochen--&gt;
            &lt;input class=""w3-input w3-border"" type=""date"" name=""deliverydate"" id=""deliverydate"" value=""&lt;? echo $row[""delivery""]; ?&gt;""&gt;                   
            &lt;label&gt;Kündigungsfrist (Wochen)&lt;/label&gt; &lt;!-- Kündigungsfrist in Wochen--&gt;
            &lt;input class=""w3-input w3-border"" type=""number"" name=""quit"" id=""quit"" value=""&lt;? echo $row[""quit""]; ?&gt;""&gt;     
            &lt;label&gt;Kündigungsdatum&lt;/label&gt;
            &lt;input class=""w3-input w3-border"" type=""date"" name=""qdate"" id=""qdate"" value=""&lt;? echo $row[""unsubscription""]; ?&gt;""&gt;
            &lt;input type=""submit"" class='w3-btn w3-black' name=""submit"" value=""Eintragen""&gt;
        &lt;/form&gt;
&lt;?


// Check connection
if($link === false){
    die(""ERROR: Could not connect. "" . mysqli_connect_error());
}

// Escape user inputs for security
$ceid = mysqli_real_escape_string($link, $_POST['id']);
$company = mysqli_real_escape_string($link, $_POST['company']);
$contractnumber = mysqli_real_escape_string($link, $_POST['contractnumber']);
$customernumber = $uid;
$quit = mysqli_real_escape_string($link, $_POST['quit']);
$quitdate = mysqli_real_escape_string($link, $_POST['qdate']);
$delivery = mysqli_real_escape_string($link, $_POST['deliverydate']);
$qd = $quit * 7;

$alert = mysqli_real_escape_string($link, date('Y-m-d', strtotime($quitdate. "" - $qd days"")));

if(isset($_POST['submit']))
{

    if(!empty($customernumber) || !empty($contractnumber) ){
        $sql_upd = ""UPDATE customer AS c SET c.company='$company', 
                                        c.contractnumber='$contractnumber',
                                        c.delivery='$delivery',
                                        c.quit='$quit',
                                        c.unsubscription='$quitdate',
                                        c.alert='$alert' 
                    WHERE c.id='$ceid'"";



            if (mysqli_query($link, $sql_upd)) {
                echo ""Record updated successfully"";
            } else {
                echo ""Error updating record: "" . mysqli_error($link);
            }



    } else {
        echo ""ERROR: Nicht gespeichert. Kundennummer oder Vertragsnummer fehlen!"";
    }



}
// close connection
mysqli_close($link);
?&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p>Btw: I know working with get is not very safe. And the code isn't a beauty as I want to polish later, but struck with the problem above.</p>",php|mysql,"<p>Have solved the problem. First, Ravi was right. Update can't create new entries. And insert did. Because I wanted to move to another page after submitting the form I abused action. Instead of using the update-code on the current page it went to the page referred to in action and added the data through the insert-code on this page. </p>",0
20224168,MYSQL IN statement returning wrong data,"<p>I'm trying to use the MYSQL statement IN to select only the data I need from my table. For example: I have a field that save categories by ID separated by comma (7,1,10,25,20). If I use this code:</p>

<pre><code>SELECT * FROM cancelamento WHERE ( motivos_int_id IN ( 7 ) )
</code></pre>

<p>I get only the rows that start with the number 7. If the data from that row is 8,7,14, for example, it doesn't return any data. Even if I change the code to:</p>

<pre><code>SELECT * FROM cancelamento WHERE ( motivos_int_id IN ( 7,8 ) )
</code></pre>

<p>Am I doing something wrong? I need to fetch all the data that has the number 7, for example, regardless of the order of the number 7.</p>",mysql|sql,"<p>you can use <code>FIND_IN_SET</code></p>

<pre><code>    SELECT * FROM cancelamento WHERE find_in_set(7 , motivos_int_id)
</code></pre>

<p>a little <a href=""http://sqlfiddle.com/#!2/33941/1"" rel=""nofollow"">example here</a></p>",1
20224168,MYSQL IN statement returning wrong data,"<p>I'm trying to use the MYSQL statement IN to select only the data I need from my table. For example: I have a field that save categories by ID separated by comma (7,1,10,25,20). If I use this code:</p>

<pre><code>SELECT * FROM cancelamento WHERE ( motivos_int_id IN ( 7 ) )
</code></pre>

<p>I get only the rows that start with the number 7. If the data from that row is 8,7,14, for example, it doesn't return any data. Even if I change the code to:</p>

<pre><code>SELECT * FROM cancelamento WHERE ( motivos_int_id IN ( 7,8 ) )
</code></pre>

<p>Am I doing something wrong? I need to fetch all the data that has the number 7, for example, regardless of the order of the number 7.</p>",mysql|sql,"<p>First print your motivos_int_id  separate , 
check your id'structure it could be like this one (12,3,4,)
in last there is comma appended , so if this scenerio happend use rtrim() function in php 
and trim your right side comma  and your query is correct . </p>

<blockquote>
  <p>select * from tbl_name where id IN(1,2,3)</p>
</blockquote>",0
48978877,MySQL Query is taking a very long time,"<p>I have a query that takes a list of stations around a given location, and from another table searches for an ID for a row that has the same coordinates as the stations queried, and concatenates all 'Line' columns that have the same ID as the one queried from the second table.</p>

<p>The query looks like this</p>

<pre><code>SELECT Instance,
Namespace, 
Stations.Name, 
Stations.Lat, 
Stations.Lon, 
Temp, 
Humid, 
(SELECT ID FROM transportData.stations WHERE stations.Lat = Stations.Lat AND stations.Lon = Stations.Lon) AS 'StationID',
( 6371 * acos( cos( radians(44.436292) ) * cos( radians( Stations.Lat ) ) * cos( radians( Stations.Lon ) - radians(26.102452) ) + sin( radians(44.436292) ) * sin(radians(Stations.Lat)) ) ) AS distance,
(SELECT GROUP_CONCAT(Line SEPARATOR ';') FROM transportData.timeTables WHERE timeTables.Station = StationID GROUP BY timeTables.Station) AS 'Lines'
FROM `Stations`
WHERE `Namespace` LIKE ""%8"" 
HAVING distance &lt; 0.1
ORDER BY distance
</code></pre>

<p>however, this query, that would return only one station (within a radius of 100 m of the provided coordinates) took 58 seconds to execute.</p>

<p>Any advice on how to optimize this?</p>

<p>EDIT:
The Stations table:</p>

<pre><code>+-----------+---------------+------+-----+---------+-------+
| Field     | Type          | Null | Key | Default | Extra |
+-----------+---------------+------+-----+---------+-------+
| Instance  | varchar(6)    | NO   | PRI | NULL    |       |
| Namespace | varchar(10)   | NO   |     | NULL    |       |
| Name      | varchar(255)  | NO   |     | NULL    |       |
| Lat       | decimal(9,6)  | NO   |     | NULL    |       |
| Lon       | decimal(9,6)  | NO   |     | NULL    |       |
| Temp      | float         | YES  |     | NULL    |       |
| Humid     | float         | YES  |     | NULL    |       |
| Bio       | varchar(3000) | YES  |     | NULL    |       |
| Photo     | varchar(1000) | YES  |     | NULL    |       |
| Phone     | varchar(255)  | YES  |     | NULL    |       |
| Website   | varchar(255)  | YES  |     | NULL    |       |
| OpenHours | varchar(1024) | YES  |     | NULL    |       |
+-----------+---------------+------+-----+---------+-------+
</code></pre>

<p>The transportData.stations table:</p>

<pre><code>+-------+-------------+------+-----+---------+-------+
| Field | Type        | Null | Key | Default | Extra |
+-------+-------------+------+-----+---------+-------+
| ID    | int(11)     | NO   | PRI | NULL    |       |
| Name  | varchar(50) | NO   |     | NULL    |       |
| Lat   | varchar(15) | NO   |     | NULL    |       |
| Lon   | varchar(15) | NO   |     | NULL    |       |
| Type  | varchar(20) | NO   |     | NULL    |       |
+-------+-------------+------+-----+---------+-------+
</code></pre>

<p>The timeTables table:</p>

<pre><code>+----------+---------------+------+-----+---------+----------------+
| Field    | Type          | Null | Key | Default | Extra          |
+----------+---------------+------+-----+---------+----------------+
| ID       | int(11)       | NO   | PRI | NULL    | auto_increment |
| Line     | varchar(10)   | NO   |     | NULL    |                |
| Station  | int(11)       | NO   |     | NULL    |                |
| Weekdays | varchar(3500) | NO   |     | NULL    |                |
| Weekends | varchar(3500) | NO   |     | NULL    |                |
+----------+---------------+------+-----+---------+----------------+
</code></pre>

<p>EDIT: I tried using some MariaDB spatial functions, and found this to work ST_Distance(point(44.436292,26.102452), point(Lat, Lon)), but it gives me weird readings that are not similar with the ones from the formula I previously had. This is probably because ST_Distance returns the distance on a plane, which is useless, because it does not take into consideration the curvature of earth.</p>",mysql|sql|database|optimization,"<p>With what you give, this is the best answer I can provide:</p>

<p>/!\ I can't test it, so I hope it work as you want.</p>

<p>I put an index to speed up a bit the WHERE, and assume you'll search for <code>&lt; 0.1km</code>.</p>

<pre><code>CREATE INDEX small_miracle 
    ON `Stations`(`Namespace`, `Lat`, `Lon`);

SELECT 
    Instance,
    Namespace, 
    Stations.Name, 
    Stations.Lat, 
    Stations.Lon, 
    Temp, 
    Humid, 
    TDS.ID AS 'StationID',
    ( 
        6371 
        * acos( 
              cos( radians(44.436292) ) 
            * cos( radians( Stations.Lat ) ) 
            * cos( 
                radians( Stations.Lon ) 
                - radians(26.102452) 
                ) 
            + sin( radians(44.436292) ) 
            * sin(radians(Stations.Lat))
            ) 
        ) AS distance,
    timeTables.Lines AS 'Lines'
FROM `Stations`
INNER JOIN transportData.stations TDS
    ON (
        TDS.Lat = Stations.Lat
        AND TDS.Lon = Stations.Lon
        )
LEFT JOIN (
    SELECT 
        timeTables.Station,
        GROUP_CONCAT(Line SEPARATOR ';') Lines
    FROM transportData.timeTables 
    GROUP BY timeTables.Station
) timeTables
    ON timeTables.Station = TDS.ID 
WHERE 
    `Namespace` LIKE ""%8"" 
    AND 26.102452 +0.1 &gt; Stations.Lat
    AND 26.102452 -0.1 &lt; Stations.Lat
    AND 44.436292 +0.1 &gt; Stations.Lon
    AND 44.436292 -0.1 &lt; Stations.Lon
    AND distance &lt; 0.1
ORDER BY distance;
</code></pre>",0
1694692,Case In-sensitive query in php,"<p>I try to make a registration form. When user post the fields, i check USER_NAME. If exist then no inster the row to MYSQL.</p>

<p>After post:</p>

<pre><code>$check = ""SELECT name FROM test WHERE name='"".$_POST['user_name'].""';  
 $result = mysql_query($check) or die (mysql_error()); 
 $numrows = mysql_num_rows($resutl);
 if ($numrow != 0){ 
     echo ""exist""; exit;           
 }else{ 
     insert.....
 }      
</code></pre>

<p>In the database i have a row with user_name=Test</p>

<p>If the posted value is Test, then ok, but if i post ""test"" or ""TeSt"" or something else, then the row iserted.</p>

<p>How can make it case insensitive? I think i should use str to lowercase to the posted value, but in the query..how can i do that?</p>

<p>Thank you</p>",php|mysql,"<p>The case sensitivity also depends on the data type of the column.  You can probably fix the problem without the extra overhead of the string conversions (i.e. <code>UPPER()</code> and <code>strtoupper()</code>) by changing the column type to VARCHAR.</p>

<p><a href=""http://dev.mysql.com/doc/refman/5.0/en/case-sensitivity.html"" rel=""nofollow noreferrer"">From the MySQL Manual</a>:</p>

<blockquote>
  <p>For nonbinary strings (CHAR, VARCHAR, TEXT), string searches use the collation of the comparison operands. For binary strings (BINARY, VARBINARY, BLOB), comparisons use the numeric values of the bytes in the operands; this means that for alphabetic characters, comparisons will be case sensitive.</p>
  
  <p>A comparison between a nonbinary string and binary string is treated as a comparison of binary strings.</p>
  
  <p>Simple comparison operations (>=, >, =, &lt;, &lt;=, sorting, and grouping) are based on each character's “sort value.” Characters with the same sort value are treated as the same character. For example, if “e” and “é” have the same sort value in a given collation, they compare as equal.</p>
</blockquote>",1
1694692,Case In-sensitive query in php,"<p>I try to make a registration form. When user post the fields, i check USER_NAME. If exist then no inster the row to MYSQL.</p>

<p>After post:</p>

<pre><code>$check = ""SELECT name FROM test WHERE name='"".$_POST['user_name'].""';  
 $result = mysql_query($check) or die (mysql_error()); 
 $numrows = mysql_num_rows($resutl);
 if ($numrow != 0){ 
     echo ""exist""; exit;           
 }else{ 
     insert.....
 }      
</code></pre>

<p>In the database i have a row with user_name=Test</p>

<p>If the posted value is Test, then ok, but if i post ""test"" or ""TeSt"" or something else, then the row iserted.</p>

<p>How can make it case insensitive? I think i should use str to lowercase to the posted value, but in the query..how can i do that?</p>

<p>Thank you</p>",php|mysql,"<p>If the collation of your field is a case-insensitive one (such as <code>utf8_general_ci</code> or <code>latin1</code>), you can use the <code>LIKE</code> operator to do a case-insensitive match.</p>

<pre><code>""SELECT * FROM test WHERE name LIKE '$username';""
</code></pre>",2
1694692,Case In-sensitive query in php,"<p>I try to make a registration form. When user post the fields, i check USER_NAME. If exist then no inster the row to MYSQL.</p>

<p>After post:</p>

<pre><code>$check = ""SELECT name FROM test WHERE name='"".$_POST['user_name'].""';  
 $result = mysql_query($check) or die (mysql_error()); 
 $numrows = mysql_num_rows($resutl);
 if ($numrow != 0){ 
     echo ""exist""; exit;           
 }else{ 
     insert.....
 }      
</code></pre>

<p>In the database i have a row with user_name=Test</p>

<p>If the posted value is Test, then ok, but if i post ""test"" or ""TeSt"" or something else, then the row iserted.</p>

<p>How can make it case insensitive? I think i should use str to lowercase to the posted value, but in the query..how can i do that?</p>

<p>Thank you</p>",php|mysql,"<p>try <code>SELECT name FROM test WHERE UPPER(name)='"".strtoupper($_POST['user_name']).""'</code></p>

<p>be aware that you should correctly escape posted username (see php <a href=""http://www.php.net/manual/en/function.mysql-real-escape-string.php"" rel=""nofollow noreferrer"">mysql_real_escape_string</a> function)</p>",2
