id,title,body,tags,answers,score
25335547,MySQLi prepared statement within while loop,"<p>I'm attempting to execute 4 prepared statement within a <code>mysqli_fetch_row</code> while loop. Currently my code is outputting NULL or empty values for all queries. This is my first time using prepared statements and I am trying to convert my code from <code>mysql</code> queries to <code>mysqli</code>. My code is below:</p>

<pre><code>$users = mysqli_query($link, ""SELECT id FROM users WHERE approved = '1'"");
while ($user = mysqli_fetch_row($users)) {
    if ($twitter_username_query = mysqli_prepare($username_query, ""SELECT username FROM personas WHERE user_id = ?"")) {
        mysqli_stmt_bind_param($username_query, ""d"", $user[0]);
        mysqli_stmt_execute($username_query);
        mysqli_stmt_bind_result($username_query, $username);
        mysqli_stmt_fetch($username_query);
        mysqli_stmt_close($twitter_username_query);
    }
    if ($count_user_clicks = mysqli_prepare($count_user_clicks, ""SELECT count(distinct txid) FROM users_clicks WHERE user_id = ?"")) {
        mysqli_stmt_bind_param($count_user_clicks, ""d"", $user[0]);
        mysqli_stmt_execute($count_user_clicks);
        mysqli_stmt_bind_result($count_user_clicks, $user_clicks);
        mysqli_stmt_fetch($count_user_clicks);
        mysqli_stmt_close($count_user_clicks);
    }
    if ($count_user_installs = mysqli_prepare(""SELECT count(txid) FROM (SELECT txid FROM users_installs WHERE user_id = ? GROUP BY txid) table1"")) {
        mysqli_stmt_bind_param($count_user_installs, ""d"", $user[0]);
        mysqli_stmt_execute($count_user_installs);
        mysqli_stmt_bind_result($count_user_installs, $user_installs);
        mysqli_stmt_fetch($count_user_installs);
        mysqli_stmt_close($count_user_installs);
    }
    if ($calc_user_cost = mysqli_prepare($calc_user_cost, ""SELECT sum(earnings) FROM (SELECT max(cost) as earnings FROM users_clicks WHERE user_id = ? GROUP BY txid) table1"")) {
        mysqli_stmt_bind_param($calc_user_cost, ""d"", $user[0]);
        mysqli_stmt_execute($calc_user_cost);
        mysqli_stmt_bind_result($calc_user_cost, $user_cost);
        mysqli_stmt_fetch($calc_user_cost);
        mysqli_stmt_close($calc_user_cost);
    }
    if ($user_clicks == '0') {
        $user_conv = 0;
    } else {
        $user_conv = ($user_installs / $user_clicks) * 100;
    }
    echo ""&lt;tr&gt;"";
    echo ""&lt;td&gt;&lt;b&gt;"".$username.""&lt;/b&gt;&lt;/td&gt;"";
    echo ""&lt;td&gt;"".number_format($user_clicks).""&lt;/td&gt;"";
    echo ""&lt;td&gt;"".number_format($user_installs).""&lt;/td&gt;"";
    if ($user_installs[0] == '0') {
        echo ""&lt;td&gt;$0.00&lt;/td&gt;"";
    } else {
        echo ""&lt;td&gt;$"".number_format($user_cost / $user_installs, 2).""&lt;/td&gt;"";
    }
    echo ""&lt;td&gt;"".number_format($user_conv, 2).""%&lt;/td&gt;"";
    echo ""&lt;/tr&gt;"";
}
</code></pre>",php|mysqli,"<p>Use a single query that JOINs all the subqueries:</p>

<pre><code>SELECT u.id, p.username, IFNULL(c.clicks, 0) AS clicks, IFNULL(i.installs, 0) AS installs, IFNULL(e.earnings, 0) AS earnings
FROM users AS u
JOIN personas AS p ON p.user_id = u.id
LEFT JOIN (
    SELECT user_id, COUNT(DISTINCT txid) AS clicks
    FROM user_clicks
    GROUP BY user_id) AS c ON c.user_id = u.id
LEFT JOIN (
    SELECT user_id, COUNT(DISTINCT txid) AS installs
    FROM user_installs
    GROUP BY user_id) AS i ON i.user_id = u.id
LEFT JOIN (
    SELECT user_id, SUM(earnings) AS earnings
    FROM (SELECT user_id, txid, MAX(cost) AS earnings
          FROM user_clicks
          GROUP BY use_id, txid) AS table1
    GROUP BY user_id) AS e
WHERE u.approved = 1
</code></pre>",2
25599796,"How to fix error ""CDbCommand ... SQLSTATE[42000]: Syntax error or access violation: 1064""","<p>I get this error when I use sql request</p>

<pre><code>$query = ""SELECT SUM "".$fields.""
                  FROM tbl_report all_months
                  "".$joins.""
                  WHERE all_months.date &gt; '$from_date' 
                        AND all_months.date &lt; '$to_date' GROUP BY fio"";
</code></pre>

<p>but with operator Distinct it works</p>

<pre><code>$query = ""SELECT DISTINCT "".$fields.""
                  FROM tbl_report all_months
                  "".$joins.""
                  WHERE all_months.date &gt; '$from_date' 
                        AND all_months.date &lt; '$to_date' GROUP BY fio"";
</code></pre>",php|mysql|yii,"<p>Use open and close parenthesis on mysql <a href=""http://dev.mysql.com/doc/refman/5.0/en/group-by-functions.html#function_sum"" rel=""nofollow"">sum()</a>:</p>

<pre><code>$query = ""SELECT SUM ("".$fields."") AS result_value
</code></pre>

<p>Note: As hanky has said in the comments, it might not work as expected if the value of <code>$fields</code> contains comma separated list of column names.</p>

<p>If it is indeed, then you need to use <code>+</code> instead of <code>,</code>:</p>

<pre><code>$fields = str_replace(',', '+', $fields);
</code></pre>",2
25618777,"PHP: Merge multi dimensional arrays, grouping by a certain key","<p>I have some arrays like this:</p>

<pre><code>array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name' =&gt; 'name1',
    'count' =&gt; 2
)
array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name' =&gt; 'name2',
    'count' =&gt; 3
)
array(
    'id' =&gt; 2,
    'title' =&gt; 'title2',
    'name' =&gt; 'name1',
    'count' =&gt; 2
)
</code></pre>

<p>I want to merge them so that arrays with same <code>id</code> and <code>title</code> would be merged. The result should be like:</p>

<pre><code>array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name' =&gt; array('name1', 'name2'),
    'count' =&gt; array(2, 3)
)
array(
    'id' =&gt; 2,
    'title' =&gt; 'title2',
    'name' =&gt; 'name1',
    'count' =&gt; 2
)
</code></pre>

<p>Or</p>

<pre><code>array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name' =&gt; 'name1, name2',
    'count' =&gt; '2, 3'
)
array(
    'id' =&gt; 2,
    'title' =&gt; 'title2',
    'name' =&gt; 'name1',
    'count' =&gt; 2
)
</code></pre>

<p>Or</p>

<pre><code>array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name1' =&gt; 2,
    'name2' =&gt; 3
)
array(
    'id' =&gt; 2,
    'title' =&gt; 'title2',
    'name1' =&gt; 2
)
</code></pre>

<p><code>array_merge_recursive()</code> will expand all the keys, instead of grouping. (All arrays could also be the form of objects.)</p>

<p><strong>Original Problem</strong></p>

<p>Actually it's a query result from MySQL database, where I used <code>COUNT</code>, <code>GROUP BY</code> and <code>JOIN</code> to generate the three arrays above. Since all MySQL queries have the structure of single rows, and the query results cannot contain subgroup type, some result rows have the same <code>id</code> and <code>title</code>. For now I'm thinking processing those results in PHP.</p>

<p>If you have some better ideas other than this, please also write it out.</p>",php|mysql|sql|arrays|group-by,"<p>Here is the code</p>

<pre><code>&lt;?php

$data=array(array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name' =&gt; 'name1',
    'count' =&gt; 2
),
array(
    'id' =&gt; 1,
    'title' =&gt; 'title1',
    'name' =&gt; 'name2',
    'count' =&gt; 3
),
array(
    'id' =&gt; 2,
    'title' =&gt; 'title2',
    'name' =&gt; 'name1',
    'count' =&gt; 2
));

$result=array();

foreach($data AS $item)
{
    $key=$item['id'].'_'.$item['title'];

    if(!isset($result[$key]))
    {
        $result[$key]=array(
            'id'=&gt;$item['id'],
            'title'=&gt;$item['title'],
            'name'=&gt;array(),
            'count'=&gt;array()
        );
    }

    $result[$key]['name'][]=$item['name'];
    $result[$key]['count'][]=$item['count'];
}

print_r($result);
</code></pre>

<p>and here is the result</p>

<pre><code>Array
(
    [1_title1] =&gt; Array
        (
            [id] =&gt; 1
            [title] =&gt; title1
            [name] =&gt; Array
                (
                    [0] =&gt; name1
                    [1] =&gt; name2
                )

            [count] =&gt; Array
                (
                    [0] =&gt; 2
                    [1] =&gt; 3
                )

        )

    [2_title2] =&gt; Array
        (
            [id] =&gt; 2
            [title] =&gt; title2
            [name] =&gt; Array
                (
                    [0] =&gt; name1
                )

            [count] =&gt; Array
                (
                    [0] =&gt; 2
                )

        )

)
</code></pre>",1
25659119,Can file_get_contents() return HTML on 4xx?,"<p>I need to send a POST request from PHP to a remote HTTPS address, which returns a JSON.</p>

<p>I've used the following code:</p>

<pre><code>    //$url = ...
    $data = array('username' =&gt; $username, 'password' =&gt; $passwort);

    $options = array(
        'http' =&gt; array(
            'header'  =&gt; ""Content-type: application/x-www-form-urlencoded\r\n"",
            'method'  =&gt; 'POST',
            'content' =&gt; http_build_query($data),
        ),
    );
    $context  = stream_context_create($options);

    $result = file_get_contents($url, false, $context);
</code></pre>

<p>However at the last line the function fails with a <code>failed to open stream: HTTP request failed! HTTP/1.1 403 FORBIDDEN</code> error. </p>

<p>The server also sends an explanation in HTML format, but I have no idea how to access it through <code>file_get_contents</code>. Help?</p>

<p>EDIT: I will use cURL instead.</p>",php|post|file-get-contents,"<p>As far as I know it is not possible. But if you use an HTTP client like Guzzle you will be able to perform this request very easy and handle errors gracefully. Also Guzzle uses cURL under the hood so you don't have to deal with it directly!</p>

<p>Send your POST request like this:</p>

<pre><code>$client = new GuzzleHttp\Client();
$response = $client-&gt;post($url, [
    'body' =&gt; [
        'username' =&gt; $username,
        'password' =&gt; $password
    ]
]);

echo $response-&gt;getStatusCode();           // 200
echo $response-&gt;getHeader('content-type'); // 'application/json; charset=utf8'
echo $response-&gt;getBody();                 // {""type"":""User""...'
var_export($response-&gt;json());             // Outputs the JSON decoded data
</code></pre>

<p>Because you are placing the username and password in the body array it will automatically be url encoded! </p>

<p>You will be able to deal with errors in an OO way and get the body of the 4xx response if the response exists:</p>

<pre><code>try {
    $client-&gt;get('https://github.com/_abc_123_404');
} catch (RequestException $e) {
    echo $e-&gt;getRequest();
    if ($e-&gt;hasResponse()) {
        echo $e-&gt;getResponse();
    }
}
</code></pre>

<p>See the <a href=""http://guzzle.readthedocs.org/en/latest/index.html"" rel=""nofollow"">documentation</a> for more information.</p>",2
25546560,How to modify timestamp?,"<p>Why it dosn't work with timestamp? </p>

<pre><code>$date = date_create('@1409221272');
date_modify($date, '+1 day');
echo date_format($date, 'Y-m-d H:i:s');
</code></pre>

<p>This works </p>

<pre><code>$date = date_create('28-08-2014 13:20:00');
date_modify($date, '+1 day');
echo date_format($date, 'Y-m-d H:i:s');
</code></pre>",php|timestamp,"<p>You can use this to create a DateTime object from a timestamp:</p>

<pre><code>$date = date_create();
date_timestamp_set($date, 1171502725);
date_modify($date, '+1 day');
</code></pre>

<p>Source: <a href=""http://php.net/manual/en/datetime.settimestamp.php"" rel=""nofollow"">http://php.net/manual/en/datetime.settimestamp.php</a></p>",0
25533355,WordPress have_posts returns false but should return true,"<p>In the WordPress theme I have, when a contact form is completed a message is written on the page but not at the location I want it to be. But when changing the location of the message in the PHP code, the paragraph that goes with the contact form (written in an article) doesn't show up anymore. In fact, I think that the <code>have_posts</code> method returns false and so the <code>php_content</code> method isn't called.</p>

<p>Here is the original code :</p>

<pre><code>&lt;div id=""main"" class=""site-main container_16""&gt;
        &lt;div class=""inner""&gt;
            &lt;div id=""primary"" class=""grid_11 suffix_1""&gt;

            &lt;?php if ( have_posts() ) while ( have_posts() ) : the_post(); ?&gt;
                    &lt;?php the_content(); ?&gt;
                &lt;?php endwhile; // end of the loop. ?&gt;

                &lt;?php if(isset($emailSent) &amp;&amp; $emailSent == true) { ?&gt;
                    &lt;div class=""alert green""&gt;
                        &lt;?php _e( 'Thanks, your email was sent successfully.', 'wplook' ); ?&gt;
                    &lt;/div&gt;
                &lt;?php } else { ?&gt;
                    &lt;?php if(isset($hasError) ) { ?&gt;
                        &lt;p class=""error""&gt;&lt;?php _e( 'Sorry, an error occured.', 'wplook' ); ?&gt;&lt;p&gt;
                    &lt;?php } ?&gt;

                    &lt;form action=""&lt;?php the_permalink(); ?&gt;"" id=""contact-form"" method=""post""&gt; ...
</code></pre>

<p>And here is how I want it to be :</p>

<pre><code>&lt;div id=""main"" class=""site-main container_16""&gt;
        &lt;div class=""inner""&gt;
            &lt;div id=""primary"" class=""grid_11 suffix_1""&gt;

                &lt;?php if(isset($emailSent) &amp;&amp; $emailSent == true) { ?&gt;
                    &lt;div class=""alert green""&gt;
                        &lt;?php _e( 'Thanks, your email was sent successfully.', 'wplook' ); ?&gt;
                    &lt;/div&gt;
                &lt;?php } else { ?&gt;
                    &lt;?php if(isset($hasError) ) { ?&gt;
                        &lt;p class=""error""&gt;&lt;?php _e( 'Sorry, an error occured.', 'wplook' ); ?&gt;&lt;p&gt;
                    &lt;?php } ?&gt;

            &lt;?php if ( have_posts() ) while ( have_posts() ) : the_post(); ?&gt;
                    &lt;?php the_content(); ?&gt;
                &lt;?php endwhile; // end of the loop. ?&gt;

                    &lt;form action=""&lt;?php the_permalink(); ?&gt;"" id=""contact-form"" method=""post""&gt;...
</code></pre>

<p>As you can see, I only changed the location of the confirmation message. But in the second way, the condition with the <code>have_posts</code> does not seem to be true since the text I wrote in the article does not show up.</p>

<p>Can someone help me with this issue please ?</p>

<p>Thanks a lot !</p>

<p>Edit:</p>

<p><code>var_dump($wp_query)</code> displays this:</p>

<p>object(WP_Query)#195 (49) { [""query""]=> array(2) { [""page""]=> string(0) """" [""pagename""]=> string(22) ""accueil/nous-rejoindre"" } [""query_vars""]=> array(62) { [""page""]=> int(0) [""pagename""]=> string(14) ""nous-rejoindre"" [""error""]=> string(0) """" [""m""]=> string(0) """" [""p""]=> int(0) [""post_parent""]=> string(0) """" [""subpost""]=> string(0) """" [""subpost_id""]=> string(0) """" [""attachment""]=> string(0) """" [""attachment_id""]=> int(0) [""name""]=> string(14) ""nous-rejoindre"" [""static""]=> string(0) """" [""page_id""]=> int(0) [""second""]=> string(0) """" [""minute""]=> string(0) """" [""hour""]=> string(0) """" [""day""]=> int(0) [""monthnum""]=> int(0) [""year""]=> int(0) [""w""]=> int(0) [""category_name""]=> string(0) """" [""tag""]=> string(0) """" [""cat""]=> string(0) """" [""tag_id""]=> string(0) """" [""author""]=> string(0) """" [""author_name""]=> string(0) """" [""feed""]=> string(0) """" [""tb""]=> string(0) """" [""paged""]=> int(0) [""comments_popup""]=> string(0) """" [""meta_key""]=> string(0) """" [""meta_value""]=> string(0) """" [""preview""]=> string(0) """" [""s""]=> string(0) """" [""sentence""]=> string(0) """" [""fields""]=> string(0) """" [""menu_order""]=> string(0) """" [""category__in""]=> array(0) { } [""category__not_in""]=> array(0) { } [""category__and""]=> array(0) { } [""post__in""]=> array(0) { } [""post__not_in""]=> array(0) { } [""tag__in""]=> array(0) { } [""tag__not_in""]=> array(0) { } [""tag__and""]=> array(0) { } [""tag_slug__in""]=> array(0) { } [""tag_slug__and""]=> array(0) { } [""post_parent__in""]=> array(0) { } [""post_parent__not_in""]=> array(0) { } [""author__in""]=> array(0) { } [""author__not_in""]=> array(0) { } [""ignore_sticky_posts""]=> bool(false) [""suppress_filters""]=> bool(false) [""cache_results""]=> bool(true) [""update_post_term_cache""]=> bool(true) [""update_post_meta_cache""]=> bool(true) [""post_type""]=> string(0) """" [""posts_per_page""]=> int(10) [""nopaging""]=> bool(false) [""comments_per_page""]=> string(2) ""50"" [""no_found_rows""]=> bool(false) [""order""]=> string(4) ""DESC"" } [""tax_query""]=> NULL [""meta_query""]=> object(WP_Meta_Query)#75 (2) { [""queries""]=> array(0) { } [""relation""]=> NULL } [""date_query""]=> bool(false) [""queried_object""]=> object(WP_Post)#74 (24) { [""ID""]=> int(28) [""post_author""]=> string(1) ""1"" [""post_date""]=> string(19) ""2014-07-24 12:51:54"" [""post_date_gmt""]=> string(19) ""2014-07-24 11:51:54"" [""post_content""]=> string(1257) ""Rejoindre WiN France c’est...[content of my page]"" [""post_title""]=> string(14) ""Nous rejoindre"" [""post_excerpt""]=> string(0) """" [""post_status""]=> string(7) ""publish"" [""comment_status""]=> string(4) ""open"" [""ping_status""]=> string(6) ""closed"" [""post_password""]=> string(0) """" [""post_name""]=> string(14) ""nous-rejoindre"" [""to_ping""]=> string(0) """" [""pinged""]=> string(0) """" [""post_modified""]=> string(19) ""2014-07-26 18:06:47"" [""post_modified_gmt""]=> string(19) ""2014-07-26 17:06:47"" [""post_content_filtered""]=> string(0) """" [""post_parent""]=> int(8) [""guid""]=> string(41) ""<a href=""http://www.win-france.org/win/?page_id=28"" rel=""nofollow"">http://www.win-france.org/win/?page_id=28</a>"" [""menu_order""]=> int(0) [""post_type""]=> string(4) ""page"" [""post_mime_type""]=> string(0) """" [""comment_count""]=> string(1) ""0"" [""filter""]=> string(3) ""raw"" } [""queried_object_id""]=> int(28) [""request""]=> string(172) ""SELECT winfrance_posts.* FROM winfrance_posts WHERE 1=1 AND (winfrance_posts.ID = '28') AND winfrance_posts.post_type = 'page' ORDER BY winfrance_posts.post_date DESC "" [""posts""]=> &amp;array(1) { [0]=> object(WP_Post)#73 (24) { [""ID""]=> int(28) [""post_author""]=> string(1) ""1"" [""post_date""]=> string(19) ""2014-07-24 12:51:54"" [""post_date_gmt""]=> string(19) ""2014-07-24 11:51:54"" [""post_content""]=> string(1257) ""Rejoindre WiN France c’est...[content of my page]"" [""post_title""]=> string(14) ""Nous rejoindre"" [""post_excerpt""]=> string(0) """" [""post_status""]=> string(7) ""publish"" [""comment_status""]=> string(4) ""open"" [""ping_status""]=> string(6) ""closed"" [""post_password""]=> string(0) """" [""post_name""]=> string(14) ""nous-rejoindre"" [""to_ping""]=> string(0) """" [""pinged""]=> string(0) """" [""post_modified""]=> string(19) ""2014-07-26 18:06:47"" [""post_modified_gmt""]=> string(19) ""2014-07-26 17:06:47"" [""post_content_filtered""]=> string(0) """" [""post_parent""]=> int(8) [""guid""]=> string(41) ""[link of my page]"" [""menu_order""]=> int(0) [""post_type""]=> string(4) ""page"" [""post_mime_type""]=> string(0) """" [""comment_count""]=> string(1) ""0"" [""filter""]=> string(3) ""raw"" } } [""post_count""]=> int(1) [""current_post""]=> int(-1) [""in_the_loop""]=> bool(false) [""post""]=> object(WP_Post)#73 (24) { [""ID""]=> int(28) [""post_author""]=> string(1) ""1"" [""post_date""]=> string(19) ""2014-07-24 12:51:54"" [""post_date_gmt""]=> string(19) ""2014-07-24 11:51:54"" [""post_content""]=> string(1257) ""Rejoindre WiN France c’est...[content of my page]"" [""post_title""]=> string(14) ""Nous rejoindre"" [""post_excerpt""]=> string(0) """" [""post_status""]=> string(7) ""publish"" [""comment_status""]=> string(4) ""open"" [""ping_status""]=> string(6) ""closed"" [""post_password""]=> string(0) """" [""post_name""]=> string(14) ""nous-rejoindre"" [""to_ping""]=> string(0) """" [""pinged""]=> string(0) """" [""post_modified""]=> string(19) ""2014-07-26 18:06:47"" [""post_modified_gmt""]=> string(19) ""2014-07-26 17:06:47"" [""post_content_filtered""]=> string(0) """" [""post_parent""]=> int(8) [""guid""]=> string(41) ""<a href=""http://www.win-france.org/win/?page_id=28"" rel=""nofollow"">http://www.win-france.org/win/?page_id=28</a>"" [""menu_order""]=> int(0) [""post_type""]=> string(4) ""page"" [""post_mime_type""]=> string(0) """" [""comment_count""]=> string(1) ""0"" [""filter""]=> string(3) ""raw"" } [""comment_count""]=> int(0) [""current_comment""]=> int(-1) [""found_posts""]=> int(1) [""max_num_pages""]=> int(0) [""max_num_comment_pages""]=> int(0) [""is_single""]=> bool(false) [""is_preview""]=> bool(false) [""is_page""]=> bool(true) [""is_archive""]=> bool(false) [""is_date""]=> bool(false) [""is_year""]=> bool(false) [""is_month""]=> bool(false) [""is_day""]=> bool(false) [""is_time""]=> bool(false) [""is_author""]=> bool(false) [""is_category""]=> bool(false) [""is_tag""]=> bool(false) [""is_tax""]=> bool(false) [""is_search""]=> bool(false) [""is_feed""]=> bool(false) [""is_comment_feed""]=> bool(false) [""is_trackback""]=> bool(false) [""is_home""]=> bool(false) [""is_404""]=> bool(false) [""is_comments_popup""]=> bool(false) [""is_paged""]=> bool(false) [""is_admin""]=> bool(false) [""is_attachment""]=> bool(false) [""is_singular""]=> bool(true) [""is_robots""]=> bool(false) [""is_posts_page""]=> bool(false) [""is_post_type_archive""]=> bool(false) [""query_vars_hash""]=> string(32) ""763460f55e15fb6827b2ee25a60c558c"" [""query_vars_changed""]=> bool(false) [""thumbnails_cached""]=> bool(false) [""stopwords"":""WP_Query"":private]=> NULL }</p>",php|wordpress,"<p>hiii, i tried your both codes and it is giving post content</p>

<p>I tried following code, </p>

<pre><code>&lt;div id=""main"" class=""site-main container_16""&gt;
        &lt;div class=""inner""&gt;
            &lt;div id=""primary"" class=""grid_11 suffix_1""&gt;

                &lt;?php if(isset($emailSent) &amp;&amp; $emailSent == true) { ?&gt;
                    &lt;div class=""alert green""&gt;
                        &lt;?php _e( 'Thanks, your email was sent successfully.', 'wplook' ); ?&gt;
                    &lt;/div&gt;
                &lt;?php } else { ?&gt;
                    &lt;?php if(isset($hasError) ) { ?&gt;
                        &lt;p class=""error""&gt;&lt;?php _e( 'Sorry, an error occured.', 'wplook' ); ?&gt;&lt;p&gt;
                    &lt;?php } ?&gt;
              &lt;?php } ?&gt;

            &lt;?php if ( have_posts() ) while ( have_posts() ) : the_post(); ?&gt;
                    &lt;?php the_content(); ?&gt;
                &lt;?php endwhile; // end of the loop. ?&gt;

                    &lt;/div&gt;
        &lt;/div&gt;
        &lt;/div&gt;
</code></pre>",0
25766843,Pass checkbox values into an array using ajax to php,"<p>I am needing some help passing checkbox values into an array using ajax and retrieving the values in my controller. The following code is not working. I receive the error: ""Invalid argument supplied for foreach()"". Var_dump gives <code>string(42) ""Educator_Classes[]=1&amp;Educator_Classes;[]=3</code></p>

<p>Thanks for any help you can provide.</p>

<p>My html form input:</p>

<pre><code>&lt;input type=""checkbox"" id=""Educator_Classes[]"" name=""Educator_Classes"" class=""Educator_Classes"" value=""&lt;?php echo $Class_Number; ?&gt;""/&gt;
</code></pre>

<p>My jquery:</p>

<pre><code>$(""#Send_Invite"").click(function() {
    var form_data = {
        Opportunity_Id: $('#Opportunity_Id').val(),
        Educator_Id: $('#Educator_Id').val(),
        Educator_Classes: $('#Educator_Classes:checked').serialize(),
        ajax: '1'
    };

    $.ajax({
        url: ""&lt;?php echo site_url('schedule/update_educator_class'); ?&gt;"",
        type: 'POST',
        data: form_data,
        success: function(data) {
            $('#response').html(data);
        }
    });

    return false;
})
</code></pre>

<p>My controller:</p>

<pre><code>function update_educator_class() {
    $Educator_Id = $this-&gt;input-&gt;post('Educator_Id');
    $Opportunity_Id = $this-&gt;input-&gt;post('Opportunity_Id');
    $Educator_Classes = $this-&gt;input-&gt;post('Educator_Classes');

    foreach($Educator_Classes as $Educator_Class):
        $this-&gt;ion_auth_model-&gt;update_educator_class($Opportunity_Id, $Educator_Class, $Educator_Id);
    endforeach;
}
</code></pre>",php|jquery|ajax|codeigniter,"<p>The Solution is that you have to take the array of name attribute of checkbox.
 Like :</p>

<pre><code>&lt;input type=""checkbox"" id=""Educator_Classes[]"" name=""Educator_Classes[]"" class=""Educator_Classes"" value=""&lt;?php echo $Class_Number; ?&gt;""/&gt;
</code></pre>",2
25766843,Pass checkbox values into an array using ajax to php,"<p>I am needing some help passing checkbox values into an array using ajax and retrieving the values in my controller. The following code is not working. I receive the error: ""Invalid argument supplied for foreach()"". Var_dump gives <code>string(42) ""Educator_Classes[]=1&amp;Educator_Classes;[]=3</code></p>

<p>Thanks for any help you can provide.</p>

<p>My html form input:</p>

<pre><code>&lt;input type=""checkbox"" id=""Educator_Classes[]"" name=""Educator_Classes"" class=""Educator_Classes"" value=""&lt;?php echo $Class_Number; ?&gt;""/&gt;
</code></pre>

<p>My jquery:</p>

<pre><code>$(""#Send_Invite"").click(function() {
    var form_data = {
        Opportunity_Id: $('#Opportunity_Id').val(),
        Educator_Id: $('#Educator_Id').val(),
        Educator_Classes: $('#Educator_Classes:checked').serialize(),
        ajax: '1'
    };

    $.ajax({
        url: ""&lt;?php echo site_url('schedule/update_educator_class'); ?&gt;"",
        type: 'POST',
        data: form_data,
        success: function(data) {
            $('#response').html(data);
        }
    });

    return false;
})
</code></pre>

<p>My controller:</p>

<pre><code>function update_educator_class() {
    $Educator_Id = $this-&gt;input-&gt;post('Educator_Id');
    $Opportunity_Id = $this-&gt;input-&gt;post('Opportunity_Id');
    $Educator_Classes = $this-&gt;input-&gt;post('Educator_Classes');

    foreach($Educator_Classes as $Educator_Class):
        $this-&gt;ion_auth_model-&gt;update_educator_class($Opportunity_Id, $Educator_Class, $Educator_Id);
    endforeach;
}
</code></pre>",php|jquery|ajax|codeigniter,"<p>You have to use <code>[]</code> for name attribute and not for <code>id</code>, otherwise it can't act like an array</p>

<pre><code>&lt;input type=""checkbox"" id=""Educator_Classes"" name=""Educator_Classes[]"" class=""Educator_Classes"" value=""&lt;?php echo $Class_Number; ?&gt;""/&gt;
</code></pre>

<p>And also your jQuery code can be simpler:</p>

<pre><code>$(""#Send_Invite"").click(function() {
    var form_data = $(this).closest('form).serialize();
    form_data['ajax'] = 1;

    $.ajax({
        url: ""&lt;?php echo site_url('schedule/update_educator_class'); ?&gt;"",
        type: 'POST',
        data: form_data,
        success: function(data) {
            $('#response').html(data);
        }
    });

    return false;
});
</code></pre>

<p>To debut what's passed to <code>$Educator_Classes</code> you can do this:</p>

<pre><code>var_export($Educator_Classes);
</code></pre>",2
25780417,Jquery form success value using in if else,"<p>I was using the same code before and it was working well now it works but problem is returning value. I test the value which is returning from saving page its ""true"" but in if else no matter what else condition works.</p>

<pre><code>&lt;script&gt;
function save(){
$.ajax({
    type:'POST',
    url:'save.php',
    data:$('#form').serialize(),
    success: function (result){
        if (result==""true"")
        {
            $(""#message"").html(""saved!"");
        }
        else
        {
            $(""#message"").html(""oops!"");
        }
    }
});
&lt;/script&gt;
</code></pre>

<p>Edit: Php save the form to mysql and return true I can get it with alert(result) but if else condition doesn't care about it. Jquery ver. jquery-2.1.1.min.js</p>

<pre><code>&lt;?php
$save=mysql_query(""Insert into table_pr(textval) Values ('$textval')"");
        if($save&gt;0)
        {
            json_encode(""true"");
        }
        else
        {
            json_encode(""false"");
        }
?&gt;
</code></pre>

<p><strong>Solution:</strong> <code>dataType: 'json'</code>, this line is missing and saving page I used json_encode(""true""); and it works now thanks for help.</p>",javascript|php|jquery,"<p><strong>FIRST</strong></p>

<p>PHP's mysql_query returns either TRUE for success or FALSE on fail
 try true for 0 and false for the else statement </p>

<p><strong>SECOND</strong></p>

<p>why do you wanna go with that solution</p>

<pre><code>&lt;?php
if(mysql_query(""Insert into table_pr(textval) Values ('$textval')""))
{
            echo ""true"";
}
        else
        {
            echo ""false"";
        }
?&gt;
</code></pre>

<p>Thats how it should be. Code neatly!</p>",0
25780417,Jquery form success value using in if else,"<p>I was using the same code before and it was working well now it works but problem is returning value. I test the value which is returning from saving page its ""true"" but in if else no matter what else condition works.</p>

<pre><code>&lt;script&gt;
function save(){
$.ajax({
    type:'POST',
    url:'save.php',
    data:$('#form').serialize(),
    success: function (result){
        if (result==""true"")
        {
            $(""#message"").html(""saved!"");
        }
        else
        {
            $(""#message"").html(""oops!"");
        }
    }
});
&lt;/script&gt;
</code></pre>

<p>Edit: Php save the form to mysql and return true I can get it with alert(result) but if else condition doesn't care about it. Jquery ver. jquery-2.1.1.min.js</p>

<pre><code>&lt;?php
$save=mysql_query(""Insert into table_pr(textval) Values ('$textval')"");
        if($save&gt;0)
        {
            json_encode(""true"");
        }
        else
        {
            json_encode(""false"");
        }
?&gt;
</code></pre>

<p><strong>Solution:</strong> <code>dataType: 'json'</code>, this line is missing and saving page I used json_encode(""true""); and it works now thanks for help.</p>",javascript|php|jquery,"<p>The string contains the "" symbol at the start and end, so check if the string is equal to '""true""' instead.</p>",0
