_id,title,content,total_like,tags
32633305,Setup Stream capability in ASP.NET MVC,"<p>I'm taking a look at a Firebase library for .NET:</p>

<p><a href=""https://github.com/ziyasal/FireSharp"" rel=""nofollow"">https://github.com/ziyasal/FireSharp</a></p>

<p>I have a simple ASP.NET MVC site that I'm using to read/write data to Firebase. It's working great, but I'd like to incorporate the streaming listener functionality so I can get notified when data has changed.</p>

<p>What do I need to do in order to engage that? I don't believe it can just hang off an action method and be notified, correct?</p>

<pre><code>EventStreamResponse response = await _client.OnAsync(""chat"", (sender, args) =&gt; {
       System.Console.WriteLine(args.Data);
});

//Call dispose to stop listening for events
response.Dispose();
</code></pre>",2,c#|asp.net-mvc|streaming
32788656,Storing and retrieving large number of avatars just based on usernames?,"<p>I want to store large number (millions) of user avatars in the file system.
But the files must be uniformly distributed in the file system so that it scales well as more files added.</p>

<p><strong>The avatars are 5-10KB in size images.
The application is ASP.NET MVC (C#)</strong></p>

<p>Storing:</p>

<p>Consider these following unique user ids: bob, mike, robert, johnson
The avatar names will be bob.jog, mike.jpg, robert.jpg, johnson.jpg</p>

<p>HTML elements to render avatar:</p>

<pre><code>&lt;img class=""avatar"" src=""www.xyz.com/getAvatar?user=bob"" /&gt;
&lt;img class=""avatar"" src=""www.xyz.com/getAvatar?user=mike"" /&gt;
</code></pre>

<p>This will go to the getAvatar controller action which will get the avatar from physical location and write to response buffer</p>

<p><strong>Current Architecture:</strong></p>

<pre><code>[HttpPost]        
public ActionResult SaveAvatar(HttpPostedFile avatarImage, string user)
{
   //get MD5 hash of user (bob=9F9D51BC70EF21CA5C14F307980A29D8)
   //split MD5 hash string to get the folders (\9F\9D\51\BC\)
   //save avatar at path &lt;file_server&gt;\images\9F\9D\51\BC\bob.jpg
}

[HttpGet]        
public ActionResult GetAvatar(string user)
{
   //get MD5 hash of user (bob=9F9D51BC70EF21CA5C14F307980A29D8)
   //find the file location from MD5 hash (9F\9D\51\BC\)
   //return &lt;file_server&gt;\images\9F\9D\51\BC\bob.jpg
}
</code></pre>

<p>Am I way off on this? 
If yes, how would you architect this?</p>

<p>I could use the userid (auto generated as new UUID) of the user from database but in that case I have to store userid in all my tables where I have username</p>

<p>Thanks for reading</p>",2,c#|asp.net-mvc-4|architecture|filesystems|scalability
32531673,Redirect changes hostname,"<p>From my app, I am sending a redirect to the browser, but what I see in the Response header Location is the same hostname and results in an error since that controller doesn't exist in my app. The hostnames are very similar, but are slightly different. What could be happening to make IIS change the hostname on the redirect location?  </p>

<p>From the details below, the hostname is changing from ""<em>blah.home.mysite.com</em>"" to ""<em>home.mysite.com</em>"" and the request/302 response is on the ""<em>home.mysite.com</em>"" hostname.</p>

<p>Here are the details:<br>
My app in admin: <a href=""http://home.mysite.com/admin/doSomething"" rel=""nofollow"">http://home.mysite.com/admin/doSomething</a><br>
Site to Redirect: <a href=""http://blah.home.mysite.com/someUrl/more"" rel=""nofollow"">http://blah.home.mysite.com/someUrl/more</a><br>
Location sent to browser: <a href=""http://home.mysite.com/somUrl/more"" rel=""nofollow"">http://home.mysite.com/somUrl/more</a><br>
Status code sent to browser: 302</p>

<p>When I manually paste the ""Site to Redirect"" into the browser, it works fine.</p>",0,c#|asp.net-mvc-4|redirect|iis
32641744,Owin HttpException on Asp.net Web Api and Http Code 504 on the client intermittently,"<p>We have an Asp.Net Web Api that is using Owin for Authentication and Validation a JWT token.</p>

<p>The issue is when we make some sequential requests with an invalid token (expired one or malformed) we get 504 error in the client and the below error on the server:</p>

<pre><code>Exception information: 
    Exception type: HttpException 
    Exception message: Server cannot append header after HTTP headers have been sent.
   at System.Web.HttpHeaderCollection.SetHeader(String name, String value, Boolean replace)
   at Microsoft.Owin.Host.SystemWeb.CallHeaders.AspNetResponseHeaders.Set(String key, String[] values)
   at Microsoft.Owin.Infrastructure.OwinHelpers.AppendHeaderUnmodified(IDictionary`2 headers, String key, String[] values)
   at Microsoft.Owin.Security.OAuth.OAuthBearerAuthenticationProvider.&lt;.ctor&gt;b__2(OAuthChallengeContext context)
   at Microsoft.Owin.Security.OAuth.OAuthBearerAuthenticationProvider.ApplyChallenge(OAuthChallengeContext context)
   at Microsoft.Owin.Security.OAuth.OAuthBearerAuthenticationHandler.ApplyResponseChallengeAsync()
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.&lt;ApplyResponseCoreAsync&gt;d__b.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.&lt;ApplyResponseAsync&gt;d__8.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.&lt;TeardownAsync&gt;d__5.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationMiddleware`1.&lt;Invoke&gt;d__0.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContextStage.&lt;RunApp&gt;d__5.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContext.&lt;DoFinalWork&gt;d__2.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContext.EndFinalWork(IAsyncResult ar)
   at System.Web.HttpApplication.AsyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute()
   at System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean&amp; completedSynchronously)
</code></pre>

<p>Here is what I see in Fiddler when I run the same request with an invalid token multiple times:</p>

<p><a href=""https://i.stack.imgur.com/769L9.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/769L9.png"" alt=""enter image description here""></a></p>

<p>As you can see I get the 504 errors that on the Raw tab of fiddler it says:</p>

<pre><code>[Fiddler] ReadResponse() failed: The server did not return a complete response for this request. Server returned 0 bytes.
</code></pre>

<p>We are using Microsoft.Owin 3.0.1.</p>

<p>Any ideas what's going on here or is there a workaround to fix this?</p>",1,c#|asp.net-web-api|owin|katana
32949965,My azure website doesn't show up on search engines,"<p>As the title says. I have an ASP.NET web application that I published to my azure account. I did a little SEO and it should show up somewhere on the search engines but it doesn't. </p>

<p>It doesn't even show up if I type in the address in the search field. It works fine when typing the URL in address field.</p>

<p>My azure subscription is ""Pay-as-you-go"". </p>

<p>Any tips or answers are appriciated! </p>

<p>Thanks!</p>",1,asp.net|forms|azure|search|web
32567056,GridView OnRowUpdating unable to get values,"<p>I have a GridView that needs to have an editable column in each row. I have declared it as shown below.</p>

<pre><code>    &lt;asp:GridView ID=""TestGrid"" runat=""server"" AllowPaging=""true"" SkinID=""GridViewNew"" AllowSorting=""False""
        OnRowDataBound=""GridViewTest_RowDataBound"" EnableViewState=""True"" 
        OnRowUpdating=""GridViewTest_OnRowUpdating"" OnRowEditing=""GridViewTest_OnRowEditing"" OnRowCancelingEdit=""GridViewTest_OnRowCancelingEdit""
        AutoGenerateColumns=""False""&gt;
        &lt;Columns&gt;
            &lt;asp:CommandField ShowEditButton=""True"" CausesValidation=""False"" /&gt;
            &lt;asp:BoundField DataField=""Client"" HeaderText=""Client"" InsertVisible=""False"" ReadOnly=""True"" /&gt;
            &lt;asp:BoundField DataField=""Stock"" HeaderText=""Stock"" InsertVisible=""False"" ReadOnly=""True"" /&gt;
            &lt;asp:TemplateField HeaderText=""DutyStatus"" InsertVisible=""False"" &gt;
                &lt;ItemTemplate&gt;
                    &lt;asp:Label ID=""standLbl"" runat=""server""&gt;&lt;%#Eval(""DutyStatus"").ToString().Trim() %&gt;&lt;/asp:Label&gt;
                &lt;/ItemTemplate&gt;
                &lt;EditItemTemplate&gt;
                    &lt;asp:DropDownList ID=""DdlDutyStatus"" runat=""server"" 
                        DataTextField=""DutyStatus""
                        DataValueField=""DutyStatus""&gt;
                    &lt;/asp:DropDownList&gt;
                &lt;/EditItemTemplate&gt;
            &lt;/asp:TemplateField&gt;
            &lt;asp:TemplateField HeaderText=""Percentage"" InsertVisible=""False"" SortExpression=""enhanced""&gt;
                &lt;ItemTemplate&gt;
                    &lt;asp:Label ID=""enhLbl"" runat=""server""&gt;&lt;%#Eval(""percentage"").ToString().Trim() %&gt;&lt;/asp:Label&gt;
                &lt;/ItemTemplate&gt;
                &lt;EditItemTemplate&gt;
                    &lt;asp:TextBox ID=""TbPercentage"" runat=""server"" Text='&lt;%#Eval(""percentage"").ToString().Trim()%&gt;' class=""edit-field""&gt;&lt;/asp:TextBox&gt;
                &lt;/EditItemTemplate&gt;
            &lt;/asp:TemplateField&gt;
        &lt;/Columns&gt;
    &lt;/asp:GridView&gt;
</code></pre>

<p>The Data is displayed as it should be. The problem arises when trying to edit the Percentage value. Clicking 'Update' works fine and the editable TextBox within the cell is displayed, however when the value has been modified and 'Update' is clicked, when the <code>GridViewTest_OnRowUpdating</code> method is hit, the object sender and <code>GridViewUpdateEventArgs</code> are both empty. The method is defined as below.</p>

<pre><code>    protected void GridViewTest_OnRowUpdating(object ASender, GridViewUpdateEventArgs AE)
    {
        PerformDataTableUpdate(ref TestGrid, AE);
    }
</code></pre>

<p>In the above method; object ASender has no rows, <code>GridViewUpdateEventArgs</code> AE properties are all empty (Keys, NewValues, OlValues etc).
I have ensured that the GridView is not getting rebound in Page_Load or anywhere else (it is empty when it enters and leaves <code>Page_load</code>  and still empty when it hits <code>GridViewTest_OnRowUpdating</code> on update postback).</p>

<p>Any help would be much appreciated.</p>",2,c#|asp.net|gridview
32646665,How to create .Net client for MVC 6 WebAPI,"<p>The new MVC 6 already includes the new WebAPI (WebAPI 3?) so you can easily create a WebAPI service and access the data via the proper URL.</p>

<p>I use the latest beta to create a <em>default</em> WebAPI service but couldn't find tutorials of how to access the data the URLs with a .Net client.</p>

<p>I checked how to create a <a href=""http://www.asp.net/web-api/overview/advanced/calling-a-web-api-from-a-net-client"" rel=""nofollow"">client for WebAPI 2</a> and used this code:</p>

<p>The controller</p>

<pre><code>    [Route(""api/[controller]"")]
    public class ValuesController : Controller
    {
        // GET: api/values
        [HttpGet]
        public IEnumerable&lt;string&gt; Get()
        {
            return new string[] { ""value1"", ""value2"" };
        }

        // GET api/values/5
        [HttpGet(""{id}"")]
        public string Get(int id)
        {
            return ""value"";
        }
   }
</code></pre>

<p>The client:</p>

<pre><code>        public async Task&lt;string&gt; GetData()
        {
            string result= ""none"";
            using (var client = new HttpClient())
            {
                client.BaseAddress = new Uri(""http://localhost:55792/"");
                client.DefaultRequestHeaders.Accept.Clear();
                client.DefaultRequestHeaders.Accept.Add(new MediaTypeWithQualityHeaderValue(""application/json""));

                // New code:
                HttpResponseMessage response = await client.GetAsync(""api/values/1"");
                if (response.IsSuccessStatusCode)
                {
                    result = await response.Content.ReadAsStringAsync();
                    return result;
                }
            }
            return result;
        }
</code></pre>

<p>I has received the string, so it works but I'm not convinced if it is the recommended way for WebAPI access in MVC 6.</p>

<p>What approach would you recommend?</p>",0,c#|asp.net-web-api|asp.net-core-mvc
32832053,Ajax Toolkit Nested accordion find control,"<p>I am having a nested accordion and i want to find control inside it.</p>

<p>Here is the Html Code,</p>

<pre><code>&lt;div&gt;
                &lt;div&gt;
                    &lt;%--First Level--%&gt;
                    &lt;cc1:Accordion ID=""accorFirst"" runat=""server"" RequireOpenedPane=""false"" SelectedIndex=""-1""
                        HeaderCssClass=""header-first"" HeaderSelectedCssClass=""header_selected-first"" ContentCssClass=""content"" ViewStateMode=""Enabled"" OnItemDataBound=""AccordionFirstItemDataBound""&gt;
                        &lt;HeaderTemplate&gt;
                            &lt;%#Eval(""Name"") %&gt;
                        &lt;/HeaderTemplate&gt;
                        &lt;ContentTemplate&gt;
                            &lt;%--Second Level--%&gt;
                            &lt;asp:HiddenField ID=""hdnIDFirst"" runat=""server"" Value='&lt;%#Eval(""Id"") %&gt;' /&gt;
                            &lt;cc1:Accordion ID=""accorSecond"" runat=""server"" RequireOpenedPane=""false"" SelectedIndex=""-1""
                                HeaderCssClass=""header-second"" HeaderSelectedCssClass=""header_selected-second"" ContentCssClass=""content"" ViewStateMode=""Enabled"" OnItemDataBound=""AccordionSecondItemDataBound""&gt;
                                &lt;HeaderTemplate&gt;
                                    &lt;%#Eval(""Name"") %&gt;
                                &lt;/HeaderTemplate&gt;
                                &lt;ContentTemplate&gt;
                                    &lt;asp:HiddenField ID=""hdnIDSecond"" runat=""server"" Value='&lt;%#Eval(""Id"") %&gt;' /&gt;
                                    &lt;%--Third Level--%&gt;
                                    &lt;cc1:Accordion ID=""accorThird"" runat=""server"" RequireOpenedPane=""false"" SelectedIndex=""-1"" ViewStateMode=""Enabled""
                                        HeaderCssClass=""header-third"" HeaderSelectedCssClass=""header_selected-third"" ContentCssClass=""content""&gt;
                                        &lt;HeaderTemplate&gt;
                                            &lt;%#Eval(""Name"") %&gt;
                                        &lt;/HeaderTemplate&gt;
                                        &lt;ContentTemplate&gt;
                                            &lt;asp:TextBox ID=""txtFirst"" CssClass=""test-class"" runat=""server""&gt;&lt;/asp:TextBox&gt;
                                        &lt;/ContentTemplate&gt;
                                    &lt;/cc1:Accordion&gt;
                                &lt;/ContentTemplate&gt;
                            &lt;/cc1:Accordion&gt;
                        &lt;/ContentTemplate&gt;
                    &lt;/cc1:Accordion&gt;
                &lt;/div&gt;
            &lt;/div&gt;
</code></pre>

<p>I want to get value for each ""txtFirst"" on button click event. Please provide sample code. Thanks in advance. </p>

<p>Presently I am using this code and not getting any result</p>

<pre><code> protected void btnSave_Click(object sender, EventArgs e)
{
    foreach (var first in accorFirst.Panes)
    {
        var accorSecond = first.FindControl(""accorSecond"") as Accordion;
        foreach (var second in accorSecond.Panes)
        {
            var accorThird = second.FindControl(""accorThird"") as Accordion;
            foreach (var third in accorThird.Panes)
            {
                var txtFirst = third.FindControl(""txtFirst"") as TextBox;
                string dataToSave = txtFirst.Text;
            }
        }
    }
}
</code></pre>",0,asp.net|webforms|accordion|ajaxcontroltoolkit
32785086,Elmah Redirects to its own default Error Page And not to Custom page,"<p>Hi i am using MVC5+Elmah
<strong>My Web.Config has</strong></p>

<pre><code>&lt;add key=""elmah.mvc.disableHandler"" value=""false"" /&gt;
&lt;add key=""elmah.mvc.disableHandleErrorFilter"" value=""true"" /&gt;
&lt;add key=""elmah.mvc.requiresAuthentication"" value=""false"" /&gt;
&lt;add key=""elmah.mvc.IgnoreDefaultRoute"" value=""false"" /&gt;
&lt;add key=""elmah.mvc.allowedRoles"" value=""*"" /&gt;
&lt;add key=""elmah.mvc.allowedUsers"" value=""*"" /&gt;
&lt;add key=""elmah.mvc.route"" value=""elmah"" /&gt;
&lt;add key=""elmah.mvc.UserAuthCaseSensitive"" value=""true"" /&gt;

&lt;customErrors mode=""On"" defaultRedirect=""ErrorMgmt/Error/General""&gt;&lt;/customErrors&gt;
</code></pre>

<p><strong>Filter Config has</strong></p>

<pre><code>public class FilterConfig
{
    public static void RegisterGlobalFilters(GlobalFilterCollection filters)
    {
        filters.Add(new HandleErrorAttribute());
    }
}
</code></pre>

<p><strong>in Controller Action i have</strong></p>

<pre><code>public ActionResult Index()
    {
        throw new Exception(""Testing ELMAH"");            
    }
</code></pre>

<p>Now when this action is executed ELMAH take me to its own default error page &amp; not the one which i configured in customerrors. How can i cofigure elmah so that it redirects to ErrorMgmt/Error/General &amp; not its own view. Please help</p>",1,asp.net-mvc-5|elmah|custom-error-pages
32604554,SignalR scaleout with Azure for chat scenario,"<p>For a chat application, I use Azure architecture with SignalR, with the web-role acting as SignalR server (the messages are not broadcast type but are intended for specific user/client).</p>

<p>I want to scale out SignalR server along with the web-roles, to handle heavy user load. Although, SignalR documentation doesn't recommend to use the pre-baked SignalR scale out methods using backplane (Redis, Service bus) for such cases when the number of messages increase as more users are connected (or in user-event driven scenario). It explicitly states: <em>""Client-to-client (e.g., chat): In this scenario, the backplane might be a bottleneck if the number of messages scales with the number of clients; that is, if the rate of messages grows proportionally as more clients join.""</em></p>

<p><strong>Question:</strong>
Does anyone know of any custom scale-out solution for such high-frequency case, which doesn't push messages to each server instance or some other scale-out solution?</p>

<p>Already looked everywhere in SignalR documentation and the related videos but couldn't find anything, other than a word ""filtered-bus"", which was not explained what it is and how it should be used.</p>",3,c#|asp.net|azure|signalr|signalr-backplane
