_id,title,content,total_like,tags
32633305,Setup Stream capability in ASP.NET MVC,"<p>I'm taking a look at a Firebase library for .NET:</p>

<p><a href=""https://github.com/ziyasal/FireSharp"" rel=""nofollow"">https://github.com/ziyasal/FireSharp</a></p>

<p>I have a simple ASP.NET MVC site that I'm using to read/write data to Firebase. It's working great, but I'd like to incorporate the streaming listener functionality so I can get notified when data has changed.</p>

<p>What do I need to do in order to engage that? I don't believe it can just hang off an action method and be notified, correct?</p>

<pre><code>EventStreamResponse response = await _client.OnAsync(""chat"", (sender, args) =&gt; {
       System.Console.WriteLine(args.Data);
});

//Call dispose to stop listening for events
response.Dispose();
</code></pre>",2,c#|asp.net-mvc|streaming
32755776,Not getting the desired result upon converting XML to JSON String using JSON.Net,"<p>Following is the XML string which we are trying to convert in to JSON string.</p>

<pre><code>  &lt;?xml version=""1.0"" encoding=""utf-16"" ?&gt; 
  &lt;MyClass&gt;
  &lt;Id&gt;1&lt;/Id&gt; 
  &lt;Names&gt;
  &lt;string&gt;Surya&lt;/string&gt; 
  &lt;string&gt;Kiran&lt;/string&gt; 
  &lt;/Names&gt;
  &lt;ClassTypes&gt;
  &lt;Types&gt;
  &lt;TypeId&gt;1&lt;/TypeId&gt; 
  &lt;TypeName&gt;First Name&lt;/TypeName&gt; 
  &lt;/Types&gt;
  &lt;Types&gt;
  &lt;TypeId&gt;2&lt;/TypeId&gt; 
  &lt;TypeName&gt;Last Name&lt;/TypeName&gt; 
  &lt;/Types&gt;
  &lt;/ClassTypes&gt;
  &lt;Status&gt;1&lt;/Status&gt; 
  &lt;/MyClass&gt;
</code></pre>

<p>using the following code, I am getting the result as below</p>

<pre><code>xmlString = ""&lt;?xml version=\""1.0\"" encoding=\""utf-16\""?&gt;&lt;MyClass&gt;&lt;Id&gt;1&lt;/Id&gt;&lt;Names&gt;&lt;string&gt;Surya&lt;/string&gt;&lt;string&gt;Kiran&lt;/string&gt;&lt;/Names&gt;&lt;ClassTypes&gt;&lt;Types&gt;&lt;TypeId&gt;1&lt;/TypeId&gt;&lt;TypeName&gt;First Name&lt;/TypeName&gt;&lt;/Types&gt;&lt;Types&gt;&lt;TypeId&gt;2&lt;/TypeId&gt;&lt;TypeName&gt;Last Name&lt;/TypeName&gt;&lt;/Types&gt;&lt;/ClassTypes&gt;&lt;Status&gt;1&lt;/Status&gt;&lt;/MyClass&gt;"";
XmlDocument doc = new XmlDocument();
doc.LoadXml(xmlString);
doc.ChildNodes.OfType&lt;XmlNode&gt;().Where(x =&gt; x.NodeType == XmlNodeType.XmlDeclaration).ToList().ForEach(x =&gt; doc.RemoveChild(x));
jsonString = JsonConvert.SerializeXmlNode(doc, Newtonsoft.Json.Formatting.None, true);
</code></pre>

<p>Actual Result</p>

<blockquote>
  <p>{""Id"":""1"",""Names"":{""string"":[""Surya"",""Kiran""]},""ClassTypes"":{""Types"":[{""TypeId"":""1"",""TypeName"":""First
  Name""},{""TypeId"":""2"",""TypeName"":""Last Name""}]},""Status"":""1""}</p>
</blockquote>

<p>Expected Result</p>

<blockquote>
  <p>{""Id"":1,""Names"":[""Surya"",""Kiran""],""ClassTypes"":[{""TypeId"":1,""TypeName"":""First
  Name""},{""TypeId"":2,""TypeName"":""Last Name""}],""Status"":0}</p>
</blockquote>

<p>We would require this result for deserialization to the below class</p>

<pre><code>public class MyClass
{
    public int Id { get; set; }
    public IList&lt;string&gt; Names { get; protected set; }
    public IList&lt;Types&gt; ClassTypes { get; protected set; }
    public StatusType Status { get; set; }

    public MyClass()
    {
        Names = new List&lt;string&gt;();
        ClassTypes = new List&lt;Types&gt;();
        Status = StatusType.Active;
    }
}
public class Types
{
    public int TypeId { get; set; }
    public string TypeName { get; set; }
}

public enum StatusType
{
    Active = 0,
    InActive = 1
}
</code></pre>",0,c#|json|xml|json.net
32788656,Storing and retrieving large number of avatars just based on usernames?,"<p>I want to store large number (millions) of user avatars in the file system.
But the files must be uniformly distributed in the file system so that it scales well as more files added.</p>

<p><strong>The avatars are 5-10KB in size images.
The application is ASP.NET MVC (C#)</strong></p>

<p>Storing:</p>

<p>Consider these following unique user ids: bob, mike, robert, johnson
The avatar names will be bob.jog, mike.jpg, robert.jpg, johnson.jpg</p>

<p>HTML elements to render avatar:</p>

<pre><code>&lt;img class=""avatar"" src=""www.xyz.com/getAvatar?user=bob"" /&gt;
&lt;img class=""avatar"" src=""www.xyz.com/getAvatar?user=mike"" /&gt;
</code></pre>

<p>This will go to the getAvatar controller action which will get the avatar from physical location and write to response buffer</p>

<p><strong>Current Architecture:</strong></p>

<pre><code>[HttpPost]        
public ActionResult SaveAvatar(HttpPostedFile avatarImage, string user)
{
   //get MD5 hash of user (bob=9F9D51BC70EF21CA5C14F307980A29D8)
   //split MD5 hash string to get the folders (\9F\9D\51\BC\)
   //save avatar at path &lt;file_server&gt;\images\9F\9D\51\BC\bob.jpg
}

[HttpGet]        
public ActionResult GetAvatar(string user)
{
   //get MD5 hash of user (bob=9F9D51BC70EF21CA5C14F307980A29D8)
   //find the file location from MD5 hash (9F\9D\51\BC\)
   //return &lt;file_server&gt;\images\9F\9D\51\BC\bob.jpg
}
</code></pre>

<p>Am I way off on this? 
If yes, how would you architect this?</p>

<p>I could use the userid (auto generated as new UUID) of the user from database but in that case I have to store userid in all my tables where I have username</p>

<p>Thanks for reading</p>",2,c#|asp.net-mvc-4|architecture|filesystems|scalability
32902365,How to use PostgreSql hstore type with Fluent NHibarnate in c#,"<p>I have a mvc application that uses fluent nhibarnate which connects to a postgresql database. I have trouble when i try to get hstore type from database. 
And i try to change the entity like </p>

<p>Entity</p>

<pre><code>IDictionary&lt;string,string&gt; fields {get;set;} 
</code></pre>

<p>Mapping</p>

<pre><code>  Map(x=&gt;x.fields).CustomSqlType(""hstore""); 
</code></pre>

<p>Getting error like <br> 
<em>Could not determine type for: System.Collections.Generic.IDictionary`2</em></p>

<p>So what is the way to get a hstore type field from a postgresql database ?</p>",4,c#|postgresql|nhibernate|fluent-nhibernate|hstore
32531673,Redirect changes hostname,"<p>From my app, I am sending a redirect to the browser, but what I see in the Response header Location is the same hostname and results in an error since that controller doesn't exist in my app. The hostnames are very similar, but are slightly different. What could be happening to make IIS change the hostname on the redirect location?  </p>

<p>From the details below, the hostname is changing from ""<em>blah.home.mysite.com</em>"" to ""<em>home.mysite.com</em>"" and the request/302 response is on the ""<em>home.mysite.com</em>"" hostname.</p>

<p>Here are the details:<br>
My app in admin: <a href=""http://home.mysite.com/admin/doSomething"" rel=""nofollow"">http://home.mysite.com/admin/doSomething</a><br>
Site to Redirect: <a href=""http://blah.home.mysite.com/someUrl/more"" rel=""nofollow"">http://blah.home.mysite.com/someUrl/more</a><br>
Location sent to browser: <a href=""http://home.mysite.com/somUrl/more"" rel=""nofollow"">http://home.mysite.com/somUrl/more</a><br>
Status code sent to browser: 302</p>

<p>When I manually paste the ""Site to Redirect"" into the browser, it works fine.</p>",0,c#|asp.net-mvc-4|redirect|iis
32641744,Owin HttpException on Asp.net Web Api and Http Code 504 on the client intermittently,"<p>We have an Asp.Net Web Api that is using Owin for Authentication and Validation a JWT token.</p>

<p>The issue is when we make some sequential requests with an invalid token (expired one or malformed) we get 504 error in the client and the below error on the server:</p>

<pre><code>Exception information: 
    Exception type: HttpException 
    Exception message: Server cannot append header after HTTP headers have been sent.
   at System.Web.HttpHeaderCollection.SetHeader(String name, String value, Boolean replace)
   at Microsoft.Owin.Host.SystemWeb.CallHeaders.AspNetResponseHeaders.Set(String key, String[] values)
   at Microsoft.Owin.Infrastructure.OwinHelpers.AppendHeaderUnmodified(IDictionary`2 headers, String key, String[] values)
   at Microsoft.Owin.Security.OAuth.OAuthBearerAuthenticationProvider.&lt;.ctor&gt;b__2(OAuthChallengeContext context)
   at Microsoft.Owin.Security.OAuth.OAuthBearerAuthenticationProvider.ApplyChallenge(OAuthChallengeContext context)
   at Microsoft.Owin.Security.OAuth.OAuthBearerAuthenticationHandler.ApplyResponseChallengeAsync()
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.&lt;ApplyResponseCoreAsync&gt;d__b.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.&lt;ApplyResponseAsync&gt;d__8.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationHandler.&lt;TeardownAsync&gt;d__5.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Security.Infrastructure.AuthenticationMiddleware`1.&lt;Invoke&gt;d__0.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContextStage.&lt;RunApp&gt;d__5.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContext.&lt;DoFinalWork&gt;d__2.MoveNext()
--- End of stack trace from previous location where exception was thrown ---
   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()
   at Microsoft.Owin.Host.SystemWeb.IntegratedPipeline.IntegratedPipelineContext.EndFinalWork(IAsyncResult ar)
   at System.Web.HttpApplication.AsyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute()
   at System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean&amp; completedSynchronously)
</code></pre>

<p>Here is what I see in Fiddler when I run the same request with an invalid token multiple times:</p>

<p><a href=""https://i.stack.imgur.com/769L9.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/769L9.png"" alt=""enter image description here""></a></p>

<p>As you can see I get the 504 errors that on the Raw tab of fiddler it says:</p>

<pre><code>[Fiddler] ReadResponse() failed: The server did not return a complete response for this request. Server returned 0 bytes.
</code></pre>

<p>We are using Microsoft.Owin 3.0.1.</p>

<p>Any ideas what's going on here or is there a workaround to fix this?</p>",1,c#|asp.net-web-api|owin|katana
32567056,GridView OnRowUpdating unable to get values,"<p>I have a GridView that needs to have an editable column in each row. I have declared it as shown below.</p>

<pre><code>    &lt;asp:GridView ID=""TestGrid"" runat=""server"" AllowPaging=""true"" SkinID=""GridViewNew"" AllowSorting=""False""
        OnRowDataBound=""GridViewTest_RowDataBound"" EnableViewState=""True"" 
        OnRowUpdating=""GridViewTest_OnRowUpdating"" OnRowEditing=""GridViewTest_OnRowEditing"" OnRowCancelingEdit=""GridViewTest_OnRowCancelingEdit""
        AutoGenerateColumns=""False""&gt;
        &lt;Columns&gt;
            &lt;asp:CommandField ShowEditButton=""True"" CausesValidation=""False"" /&gt;
            &lt;asp:BoundField DataField=""Client"" HeaderText=""Client"" InsertVisible=""False"" ReadOnly=""True"" /&gt;
            &lt;asp:BoundField DataField=""Stock"" HeaderText=""Stock"" InsertVisible=""False"" ReadOnly=""True"" /&gt;
            &lt;asp:TemplateField HeaderText=""DutyStatus"" InsertVisible=""False"" &gt;
                &lt;ItemTemplate&gt;
                    &lt;asp:Label ID=""standLbl"" runat=""server""&gt;&lt;%#Eval(""DutyStatus"").ToString().Trim() %&gt;&lt;/asp:Label&gt;
                &lt;/ItemTemplate&gt;
                &lt;EditItemTemplate&gt;
                    &lt;asp:DropDownList ID=""DdlDutyStatus"" runat=""server"" 
                        DataTextField=""DutyStatus""
                        DataValueField=""DutyStatus""&gt;
                    &lt;/asp:DropDownList&gt;
                &lt;/EditItemTemplate&gt;
            &lt;/asp:TemplateField&gt;
            &lt;asp:TemplateField HeaderText=""Percentage"" InsertVisible=""False"" SortExpression=""enhanced""&gt;
                &lt;ItemTemplate&gt;
                    &lt;asp:Label ID=""enhLbl"" runat=""server""&gt;&lt;%#Eval(""percentage"").ToString().Trim() %&gt;&lt;/asp:Label&gt;
                &lt;/ItemTemplate&gt;
                &lt;EditItemTemplate&gt;
                    &lt;asp:TextBox ID=""TbPercentage"" runat=""server"" Text='&lt;%#Eval(""percentage"").ToString().Trim()%&gt;' class=""edit-field""&gt;&lt;/asp:TextBox&gt;
                &lt;/EditItemTemplate&gt;
            &lt;/asp:TemplateField&gt;
        &lt;/Columns&gt;
    &lt;/asp:GridView&gt;
</code></pre>

<p>The Data is displayed as it should be. The problem arises when trying to edit the Percentage value. Clicking 'Update' works fine and the editable TextBox within the cell is displayed, however when the value has been modified and 'Update' is clicked, when the <code>GridViewTest_OnRowUpdating</code> method is hit, the object sender and <code>GridViewUpdateEventArgs</code> are both empty. The method is defined as below.</p>

<pre><code>    protected void GridViewTest_OnRowUpdating(object ASender, GridViewUpdateEventArgs AE)
    {
        PerformDataTableUpdate(ref TestGrid, AE);
    }
</code></pre>

<p>In the above method; object ASender has no rows, <code>GridViewUpdateEventArgs</code> AE properties are all empty (Keys, NewValues, OlValues etc).
I have ensured that the GridView is not getting rebound in Page_Load or anywhere else (it is empty when it enters and leaves <code>Page_load</code>  and still empty when it hits <code>GridViewTest_OnRowUpdating</code> on update postback).</p>

<p>Any help would be much appreciated.</p>",2,c#|asp.net|gridview
32784606,Get parameter passed in navigation,"<p>I'm using modernUI with WPF in my desktop application. I use the code below to navigate to my usercontrol (acts like a page).</p>

<pre><code>NavigationCommands.GoToPage.Execute(""/Pages/MyPage.xaml?Id="" + id, this);
</code></pre>

<p>The navigation works well but the problem is that I don't know how I can get the Id passed as parameter. How can I fetch a parameter from MyPage.xaml?</p>",0,c#|wpf|parameters|navigation|modern-ui
32928160,c# Copy IE's cookie to CookieContainer,"<p>I currently implementing a desktop application for my ASP.NET website. I am trying to use <code>WebBrowser</code> class to allow user to login to the site and then use <code>WebClient</code> to make api calls afterward. Based on research and experiment,  <code>WebBrowser</code> class and IE share the same cookie (which is good). But I am having a hard time copying the authenticated cookie into <code>CookieContainer</code> for my <code>WebClient</code>. </p>

<p>I tried to use <code>Application.GetCookie</code> which calls <code>InternetGetCookie</code> Win32API to get the cookie from IE, the problem is that it does not return the authentication cookie. It only returns cookies set by my site such as Language and User preferences. The cookie should be persistent cookie since I am still logged in after I close and reopen the browser. Any thoughts?</p>

<p>Edit: If <code>InternetGetCookie</code> doesn't work, is there anyway I can get the authentication cookie?</p>",0,c#|internet-explorer|cookies
32825461,Using Singleton attribute with ServiceBusTrigger in WebJobs SDK,"<p>I am using the <a href=""https://www.nuget.org/packages/Microsoft.Azure.WebJobs"" rel=""nofollow""> Microsoft.Azure.WebJobs</a> and <a href=""https://www.nuget.org/packages/Microsoft.Azure.WebJobs.ServiceBus/"" rel=""nofollow"">Microsoft.Azure.WebJobs.ServiceBus</a> packages for capturing ServiceBus topic events.</p>

<p>Functions Code is as below -</p>

<pre><code>public class Functions
{
    [Singleton]
    public static void Event4Processor(
      [ServiceBusTrigger(""MyTopic"", ""MySubscription"", AccessRights.Listen)] BrokeredMessage message,
      TextWriter log)
    {
        log.WriteLine(message);
    }
}
</code></pre>

<p>However, I am getting this error</p>

<pre><code>{
  ""Type"": ""FunctionCompleted"",
  ""EndTime"": ""2015-09-28T13:53:36.6540039+00:00"",
  ""Failure"": {
    ""ExceptionType"": ""System.ArgumentNullException"",
    ""ExceptionDetails"": ""System.ArgumentNullException: Value cannot be null.\r\nParameter name: bindingData\r\n   at Microsoft.Azure.WebJobs.Host.Bindings.BindingDataPathHelper.ConvertParameters(IReadOnlyDictionary`2 bindingData)\r\n   at Microsoft.Azure.WebJobs.Host.SingletonManager.GetBoundScope(String scope, IReadOnlyDictionary`2 bindingData)\r\n   at Microsoft.Azure.WebJobs.Host.Triggers.TriggeredFunctionBinding`1.&lt;BindCoreAsync&gt;d__7.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Microsoft.Azure.WebJobs.Host.Triggers.TriggeredFunctionBinding`1.&lt;BindAsync&gt;d__0.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Microsoft.Azure.WebJobs.Host.Executors.FunctionExecutor.&lt;ExecuteWithLogMessageAsync&gt;d__c.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter`1.GetResult()\r\n   at Microsoft.Azure.WebJobs.Host.Executors.FunctionExecutor.&lt;TryExecuteAsync&gt;d__1.MoveNext()""
  },
  ""ParameterLogs"": {},
  ""FunctionInstanceId"": ""a1dcf0a9-113f-4c7e-b136-fb8d8b7ee4aa"",
  ""Function"": {
    ""Id"": ""WebJobServiceBus.Functions.Event4Processor"",
    ""FullName"": ""WebJobServiceBus.Functions.Event4Processor"",
    ""ShortName"": ""Functions.Event4Processor"",
    ""Parameters"": [
      {
        ""NamespaceName"": ""my-ns"",
        ""TopicName"": ""myevents"",
        ""SubscriptionName"": ""mysubscription"",
        ""Name"": ""message"",
        ""DisplayHints"": {
          ""Description"": ""dequeue from 'mytopic/Subscriptions/mysubscription'"",
          ""Prompt"": ""Enter the queue message body""
        }
      },
      {
        ""Type"": ""ParameterDescriptor"",
        ""Name"": ""log""
      }
    ]
  },
  ""Reason"": ""AutomaticTrigger"",
  ""ReasonDetails"": ""New ServiceBus message detected on 'MyTopic/Subscriptions/MySubscription'."",
  ""StartTime"": ""2015-09-28T13:53:35.6639049+00:00"",
  ""HostInstanceId"": ""ad1f5b26-ddec-4326-9cfb-df585065e773"",
  ""HostDisplayName"": ""WebJobServiceBus"",
  ""SharedQueueName"": ""azure-webjobs-host-ef6959df3bc9431680c944c6ca5b1eff"",
  ""InstanceQueueName"": ""azure-webjobs-host-ad1f5b26ddec43269cfbdf585065e773"",
  ""Heartbeat"": {
    ""SharedContainerName"": ""azure-webjobs-hosts"",
    ""SharedDirectoryName"": ""heartbeats/ef6959df3bc9431680c944c6ca5b1eff"",
    ""InstanceBlobName"": ""ad1f5b26ddec43269cfbdf585065e773"",
    ""ExpirationInSeconds"": 45
  }
}
</code></pre>

<p>If I remove the Singleton attribute, everything works!</p>

<p>I've tried options like -</p>

<pre><code>[Singleton(@""{CorrelationId}"")]
</code></pre>

<p>However, Its not helping.</p>

<p>What's the problem(and fix)?</p>",5,c#|azureservicebus|azure-webjobssdk
