_id,title,content,total_like,tags
29781909,Edit counting of added rows after deleted it,"<p>I have a problem counting row modules. I make 2 modules, Modules 1 and 2. When I delete Module 2, then add another module, instead of adding Module 2 (like it should), it continues counting with Module 3, skipping over the now-deleted Module 2.<br>
This is my code:</p>

<pre><code> &lt;html&gt;
&lt;head&gt;
&lt;style type=""text/css""&gt;
table {border-collapse:collapse;}
.tf{border-bottom:0;}
&lt;/style&gt;
&lt;SCRIPT TYPE=""text/javascript""&gt;
var num=1;
  function addmodule(in_tbl_name)
  {
    var tbody = document.getElementById(in_tbl_name).getElementsByTagName(""TBODY"")[0];
var row1 = document.createElement(""TR"");
// create table cell 1
var td = document.createElement(""TD"")
td.setAttribute('colspan',5);
td.bgColor=""#A7B8D4"";
td.innerHTML = ""&lt;label style=\""width:570; background-color:#A7B8D4; color:white;\""&gt;""+""Module ""+num+""&lt;/label&gt;"";
row1.appendChild(td);
// add to count variable
num = parseInt(num) + 1;
// append row to table
tbody.appendChild(row1);
  }
    var count=1;
  function addRow(in_tbl_name)
  {
var tbody = document.getElementById(in_tbl_name).getElementsByTagName(""TBODY"")[0];
// create row
var row = document.createElement(""TR"");
var td1 = document.createElement(""TD"")
var strHtml1 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""5\"" MAXLENGTH=\""255\"" class=\""textborder\';\""&gt;"";
td1.innerHTML=strHtml1 ;
var td2 = document.createElement(""TD"")
var strHtml2 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""30\"" MAXLENGTH=\""255\"" class=\""textbordersmall\';\""&gt;"";
td2.innerHTML=strHtml2;
var td3 = document.createElement(""TD"")
var strHtml3 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""5\"" MAXLENGTH=\""255\"" class=\""textbordersmall\';\""&gt;"";
td3.innerHTML=strHtml3 ;
var td4 = document.createElement(""TD"")
var strHtml4 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""5\"" MAXLENGTH=\""255\"" class=\""textbordersmall\';\""&gt;"";
td4.innerHTML=strHtml4 ;
// append data to row
row.appendChild(td1);
row.appendChild(td2);
row.appendChild(td3);
row.appendChild(td4);
// add to count variable
count = parseInt(count) + 1;
// append row to table
tbody.appendChild(row);
  }
  function deleterow(tableID) {
var table = document.getElementById(tableID);
var rowCount = table.rows.length;
if (rowCount==1) {return false;
}
else{
table.deleteRow(rowCount -1);
}}
&lt;/SCRIPT&gt; 
&lt;/head&gt;
&lt;body&gt;
&lt;TABLE ID=""tbl"" width=""570"" border=""1"" cellspacing=""0"" cellpadding=""0"" align=""center"" class=""st""&gt;
&lt;TH WIDTH=""400""&gt;Content&lt;/TH&gt;&lt;TH WIDTH=""57""&gt;CLO&lt;/TH&gt;&lt;TH WIDTH=""57""&gt;PLO&lt;/TH&gt;        &lt;TH WIDTH=""56""&gt;Week&lt;/TH&gt;
&lt;p align=""center""&gt;
&lt;input type=""button"" onClick=""addmodule('tbl')"" VALUE=""Add Module""&gt; &amp;nbsp;&amp;nbsp;
&lt;INPUT TYPE=""Button"" onClick=""addRow('tbl')"" VALUE=""Add Row""&gt;&amp;nbsp;&amp;nbsp;
&lt;INPUT TYPE=""Button"" onClick=""deleterow('tbl')"" VALUE=""delete Row""&gt;    &lt;/p&gt;&amp;nbsp;&amp;nbsp;
&lt;/TABLE&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p><img src=""https://i.stack.imgur.com/OCOah.png"" alt=""enter image description here""></p>",0,javascript|html-table|rows
29822613,Full width Submenu,"<p>I want a full width Sub categorie bar with the sub sub categorie under the sub categorie which is always visible. Well a images says more than words.</p>

<p>Beneath you find the</p>

<p>I want something like this,</p>

<p><img src=""https://i.stack.imgur.com/Qz3fc.jpg"" alt=""I want this""></p>

<p>I have:
CSS MENU</p>

<pre><code>/* Sub menu */
#cssmenu &gt; ul ul {
  padding: 0;
  position: absolute;
  top: 76px;
  left: 0;
  right: 0;
  width: 100%;
  background: #ccc;
  -webkit-box-shadow: none;
  -moz-box-shadow: none;
  box-shadow: none;
  display: none;
  opacity: 0;
  visibility: hidden;
  -webkit-transiton: opacity 0.2s;
  -moz-transition: opacity 0.2s;
  -ms-transition: opacity 0.2s;
  -o-transition: opacity 0.2s;
  -transition: opacity 0.2s;
}
#cssmenu &gt; ul li ul li { 
  background: #469e92; 
  display: block; 
}
#cssmenu &gt; ul li ul li &gt; a{ 
  color: #fff;
  font-family: Calibri, Candara, Segoe, ""Segoe UI"", Optima, Arial, sans-serif;
  padding: 30px;
  text-decoration: none;
}
#cssmenu &gt; ul li ul li:hover { background: #666; }
#cssmenu &gt; ul li:hover ul {
  display: block;
  opacity: 1;
  visibility: visible;
}
/* Sub menu */
</code></pre>

<p><a href=""http://jsfiddle.net/MrC11/7sad1cpj/"" rel=""nofollow noreferrer"">JSFiddle</a></p>",2,html|css
30122480,JS button pressed and resize iframe,"<p>When i pressed a button in the iframe, it disappears the tag but doesnt resize the iframe size. when the ajax is done should call the AjustResizeIframeHeight method in the other page
Any suggestion to do that?</p>

<p><strong>UPDATE</strong></p>

<p>page with iframe</p>

<pre><code>&lt;script language=""javascript"" type=""text/javascript""&gt;
function resizeIframe(obj) {
 obj.style.height = obj.contentWindow.document.body.scrollHeight + 'px';
}
function AdjustIframeHeight(i) { document.getElementById(""form-iframe"").style.height = parseInt(i) + ""px""; }
&lt;/script&gt;

&lt;iframe id""form-iframe"" width=""100%"" style=""border: none"" src=""{{ notes }}""  onload='javascript:resizeIframe(this);'&gt;
&lt;/iframe&gt;
</code></pre>

<p>content the iframe:</p>

<pre><code>&lt;a href=""#"" onclick=""xpto2(1,{{ n.id }});parentNode.parentNode.removeChild(parentNode)"" &gt;Don't show again&lt;/a&gt;

&lt;script&gt;
    function xpto2(status,noteid) {
       var request =  $.ajax({
           ....
       });
        request.done(function() {
           window.parent.AdjustIframeHeight();
        });
}
&lt;/script&gt;
</code></pre>

<p>Added the <code>window.parent.AdjustIframeHeight()</code> in the ajax function, but it says ""unresolved function or method""</p>",0,javascript|jquery|html|ajax|iframe
30200690,Twitter Bootstrap button dropdown overflow issue when overflow properties are needed,"<p>I'm creating a website where you have a menu on the left that can become super long, so I need to have the <code>overflow-y: auto</code> (and I put <code>overflow-x: visible !important</code>).
Inside that menu I have a dropdown. But the dropdown is cut off on the right due to the overflow from the left menu. See image: </p>

<p><img src=""https://i.stack.imgur.com/qu51N.png"" alt=""enter image description here""></p>

<p>How can I make the dropdown appear properly? ie The dropdown shouldn't be cut on the right hand side.  </p>

<p>Here is a JsFiddle: <a href=""http://jsfiddle.net/ssL1yydx/41/"" rel=""nofollow noreferrer"">http://jsfiddle.net/ssL1yydx/41/</a>  </p>",1,html|twitter-bootstrap|css
30149855,Find elements inside circle in svg,"<p>I am trying to find elements that comes between the co-ordinates of a <code>circle</code>.
In the <a href=""http://jsfiddle.net/akshay7/2w2jrues/7/"">Fiddle</a>  i have a circle that animates according to mouse position i want to style/select all the small circles that come inside the area of the big circle </p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var s = Snap('svg')
for (var x = 10; x &lt; 500; x = x + 30) {
  for (var y = 10; y &lt; 500; y = y + 30) {
    var circle = s.circle(x, y, 5)
    circle.attr({
      fill: 'black' //'#8BFE03'
    })
  }
}
s.mousemove(function(e) {
  $('.circle').attr({
    cx: e.pageX,
    cy: e.pageY
  })
})</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.0/jquery.min.js""&gt;&lt;/script&gt;
&lt;script src=""https://cdnjs.cloudflare.com/ajax/libs/snap.svg/0.3.0/snap.svg-min.js""&gt;&lt;/script&gt;
&lt;svg width=""1500"" height=""1500"" id=""svg""&gt;
  &lt;circle class=""circle"" cx=""0"" cy='0' r='80' /&gt;
&lt;/svg&gt;</code></pre>
</div>
</div>
</p>",8,jquery|html|css|svg
30061542,Get Position of text inside a HTML element,"<p>I am trying to detect the position of text inside a HTML element (assume, <code>&lt;div&gt;</code> tag) (top, left, bottom and right coordinates) on the screen. I have tried offsetLeft, and offsetWidth. But, it doesn't help. Please help.</p>

<p>Thanks.</p>",2,javascript|html
29867835,"Jquery, get values from <li> tag","<p>I have list with id <code>myid</code>. I can get values li values like this <code>$('#' + i).text()</code>. But I am using <code>$( '#myid' ).sortable()</code> . How can get values in currently displayed order? <a href=""http://jsfiddle.net/rcmyy/58/"" rel=""nofollow"">Demo here</a>. I need to implement function in <code>stop:</code></p>

<pre><code>&lt;ul id='myid'&gt;
    &lt;li id='1'&gt;value 1&lt;/li&gt;
    &lt;li id='2'&gt;value 2&lt;/li&gt;
    &lt;li id='3'&gt;value 3&lt;/li&gt;
    &lt;li id='4'&gt;value 4&lt;/li&gt;
    &lt;li id='5'&gt;value 5&lt;/li&gt;
&lt;/ul&gt;
</code></pre>",1,javascript|jquery|html|css|jquery-ui-sortable
29766232,How to insert placeholder text in text_area_tag in rails?,"<p>I'm using the following code to generate a <code>textarea</code> tag:</p>

<pre><code>&lt;%= text_area_tag :comment, '', autocomplete: ""off"", class: ""form-control"", placeholder: ""Your Comment"" %&gt;
</code></pre>

<p>When rendered, it produces the following HTML:</p>

<pre><code>&lt;textarea name=""comment"" id=""comment"" autocomplete=""off"" class=""form-control"" placeholder=""Your Comment""&gt;&lt;/textarea&gt;
</code></pre>

<p>I know that if there is some text between <code>&lt;textarea&gt;</code> and <code>&lt;/textarea&gt;</code>, the  <code>placeholder</code> won't show up, but in my case, there is nothing in-between, as it is clear from rendered HTML. So how can I put a <code>placeholder</code>  text for <code>textarea</code>?</p>",2,html|ruby-on-rails|textarea|placeholder
30097807,Using attr(data-icon) property to display unicode before element,"<p>Lets demonstrate an example with simple HTML code like this:</p>

<pre><code>&lt;div data-icon=""\25B6""&gt;Title&lt;/div&gt;
</code></pre>

<p>I would like this element to have an prefix icon set by it's data attribute (data-icon) so I set CSS file like this:</p>

<pre><code>div:before {
    content: attr(data-icon);
}
</code></pre>

<p>My desired output of this example would look like this:</p>

<pre><code>▶Title
</code></pre>

<p>Instead of desired output all I can get is this:</p>

<pre><code>\25B6Title
</code></pre>

<p>So my question is: what am I doing wrong / what am I missing? </p>

<p>JSFiddle example: <a href=""http://jsfiddle.net/Lqgr9zv6/"" rel=""noreferrer"">http://jsfiddle.net/Lqgr9zv6/</a></p>",13,html|css|unicode|pseudo-element|css-content
29954364,Invalid location of tag <div> in JSP,"<p>I insert some code HTML in my jsp page: <code>acceuil.jsp</code>, but I'm getting an error in my tag <code>&lt;div class=""ca-content""&gt;</code>.  It shows me that it's an invalid location.  (the <code>ca-content</code> is referring to a class in my stylesheet).</p>

<p>I tried to disable the HTML validator but I'm still having the same error.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;%@ page language=""java"" contentType=""text/html; charset=UTF-8"" pageEncoding=""UTF-8""%&gt;
&lt;!DOCTYPE html&gt;

&lt;html&gt;
&lt;head&gt;
    &lt;meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""&gt;
    &lt;link type=""text/css"" rel=""stylesheet"" href=""${pageContext.request.contextPath}/acceuil.css"" /&gt;
    &lt;title&gt;Insert title here&lt;/title&gt;
&lt;/head&gt;
&lt;body&gt;
    &lt;ul class=""ca-menu""&gt;
        &lt;li&gt;
            &lt;a href=""#""&gt;
                &lt;span class=""ca-icon""&gt;A&lt;/span&gt;

                &lt;div class=""ca-content""&gt;
                    &lt;h2 class=""ca-main""&gt;Exceptional Service&lt;/h2&gt;
                    &lt;h3 class=""ca-sub""&gt;Personalized to your needs&lt;/h3&gt;
                &lt;/div&gt;
   
            &lt;/a&gt;
        &lt;/li&gt;

    &lt;/ul&gt;
&lt;/body&gt;
&lt;/html&gt;</code></pre>
</div>
</div>
</p>",7,html|css|jsp
