_id,title,content,total_like,tags
29781909,Edit counting of added rows after deleted it,"<p>I have a problem counting row modules. I make 2 modules, Modules 1 and 2. When I delete Module 2, then add another module, instead of adding Module 2 (like it should), it continues counting with Module 3, skipping over the now-deleted Module 2.<br>
This is my code:</p>

<pre><code> &lt;html&gt;
&lt;head&gt;
&lt;style type=""text/css""&gt;
table {border-collapse:collapse;}
.tf{border-bottom:0;}
&lt;/style&gt;
&lt;SCRIPT TYPE=""text/javascript""&gt;
var num=1;
  function addmodule(in_tbl_name)
  {
    var tbody = document.getElementById(in_tbl_name).getElementsByTagName(""TBODY"")[0];
var row1 = document.createElement(""TR"");
// create table cell 1
var td = document.createElement(""TD"")
td.setAttribute('colspan',5);
td.bgColor=""#A7B8D4"";
td.innerHTML = ""&lt;label style=\""width:570; background-color:#A7B8D4; color:white;\""&gt;""+""Module ""+num+""&lt;/label&gt;"";
row1.appendChild(td);
// add to count variable
num = parseInt(num) + 1;
// append row to table
tbody.appendChild(row1);
  }
    var count=1;
  function addRow(in_tbl_name)
  {
var tbody = document.getElementById(in_tbl_name).getElementsByTagName(""TBODY"")[0];
// create row
var row = document.createElement(""TR"");
var td1 = document.createElement(""TD"")
var strHtml1 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""5\"" MAXLENGTH=\""255\"" class=\""textborder\';\""&gt;"";
td1.innerHTML=strHtml1 ;
var td2 = document.createElement(""TD"")
var strHtml2 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""30\"" MAXLENGTH=\""255\"" class=\""textbordersmall\';\""&gt;"";
td2.innerHTML=strHtml2;
var td3 = document.createElement(""TD"")
var strHtml3 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""5\"" MAXLENGTH=\""255\"" class=\""textbordersmall\';\""&gt;"";
td3.innerHTML=strHtml3 ;
var td4 = document.createElement(""TD"")
var strHtml4 = ""&lt;INPUT TYPE=\""text\"" NAME=\""in_name\"" SIZE=\""5\"" MAXLENGTH=\""255\"" class=\""textbordersmall\';\""&gt;"";
td4.innerHTML=strHtml4 ;
// append data to row
row.appendChild(td1);
row.appendChild(td2);
row.appendChild(td3);
row.appendChild(td4);
// add to count variable
count = parseInt(count) + 1;
// append row to table
tbody.appendChild(row);
  }
  function deleterow(tableID) {
var table = document.getElementById(tableID);
var rowCount = table.rows.length;
if (rowCount==1) {return false;
}
else{
table.deleteRow(rowCount -1);
}}
&lt;/SCRIPT&gt; 
&lt;/head&gt;
&lt;body&gt;
&lt;TABLE ID=""tbl"" width=""570"" border=""1"" cellspacing=""0"" cellpadding=""0"" align=""center"" class=""st""&gt;
&lt;TH WIDTH=""400""&gt;Content&lt;/TH&gt;&lt;TH WIDTH=""57""&gt;CLO&lt;/TH&gt;&lt;TH WIDTH=""57""&gt;PLO&lt;/TH&gt;        &lt;TH WIDTH=""56""&gt;Week&lt;/TH&gt;
&lt;p align=""center""&gt;
&lt;input type=""button"" onClick=""addmodule('tbl')"" VALUE=""Add Module""&gt; &amp;nbsp;&amp;nbsp;
&lt;INPUT TYPE=""Button"" onClick=""addRow('tbl')"" VALUE=""Add Row""&gt;&amp;nbsp;&amp;nbsp;
&lt;INPUT TYPE=""Button"" onClick=""deleterow('tbl')"" VALUE=""delete Row""&gt;    &lt;/p&gt;&amp;nbsp;&amp;nbsp;
&lt;/TABLE&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>

<p><img src=""https://i.stack.imgur.com/OCOah.png"" alt=""enter image description here""></p>",0,javascript|html-table|rows
29792871,CRM OData OrganizationData.svc does not work by IP,"<p>I have been working on CRM autoupdate filed and i got it working by </p>

<pre><code>var lookUpObjectValue = Xrm.Page.getAttribute(""new_kdid"").getValue();    
if ((lookUpObjectValue != null))    
{ 
  var lookupid = lookUpObjectValue[0].id;    
  var serverUrl = Xrm.Page.context.getServerUrl();    
  var ODATA_ENDPOINT = ""/XRMServices/2011/OrganizationData.svc"";    
  var odataSetName = ""new_kdSet?"";    
  var odataSelect = serverUrl + ODATA_ENDPOINT + ""/"" + odataSetName  +     
  ""$select=new_City"" +    
  ""&amp;$filter=new_kdId eq (guid'"" + lookupid + ""')"" +     
          ""&amp;$top=1"";    
    $.ajax({    
        type: ""GET"",
        contentType: ""application/json; charset=utf-8"",
        datatype: ""json"",    
        url: odataSelect,    
        beforeSend: function (XMLHttpRequest) {XMLHttpRequest.setRequestHeader(""Accept"", ""application/json""); },    
        success: function (data, textStatus, XmlHttpRequest){
 Xrm.Page.getAttribute(""address1_city"").setValue(data.d.results[0].new_City);      

    },
    error: function (XmlHttpRequest, textStatus, errorThrown) { alert('OData Select Failed: ' + odataSelect); }      
});      
</code></pre>

<p>}      </p>

<p>And it works fine until I connect to CRM by IP. 
Like <a href=""http://193.92.1.4/CRMTest/main.aspx#"" rel=""nofollow"">http://193.92.1.4/CRMTest/main.aspx#</a> instead of 
crm-server01/CRMTest/main.aspx</p>

<p>then i get the error  OData Select Failed:/*Some url that start with crm-server01/ ... */ and when i run it it get the right data?</p>",0,javascript|iis|odata|crm
30013192,WebView.stringByEvaluatingJavaScriptFromString parse errors,"<p>When loading a script using WebView.stringByEvaluatingJavaScriptFromString that contains syntax errors, the script is not loaded at all and no error is returned. I set up my WebView's context like this to report errors:</p>

<pre><code>let context = view.mainFrame.javaScriptContext;

context.setObject(false, forKeyedSubscript: ""JSError"");
context.exceptionHandler = { context, exception in
  self.logIntern(""JS Error: "" + exception.toString());
  context.setObject(true, forKeyedSubscript: ""JSError"");
}
</code></pre>

<p>This reporting works nicely for runtime errors, but not parse errors. How can I know that parsing my script failed (maybe including parsing info, like error type and line number)?</p>",2,swift|parsing|webkit|javascriptcore
30033057,Cordova and SwipeRefreshLayout Android Lollipop feature,"<p>I have just released an update for my cordova/crosswalk app to support <code>Android Lollipop 5.1.x</code>.
I have noticed that when I swipe down in any view of my app a refresh button comes down (<code>SwipeRefreshLayout</code> new feature).</p>

<p>The problem is that after that the app becomes all white blank.</p>

<p>I there a way to handle that button with javascript or to disable it?</p>

<p>Thanks</p>",2,javascript|android|cordova|android-5.0-lollipop|crosswalk-runtime
29866170,How can I trigger an event with a marker in leaflet.js?,"<p>I am trying to create an interactive time table with a map using leaflet.js. My aim is to have users click the leaflet.js marker which will reveal a side panel and show the data that is stored in an external JSON file.</p>

<p>I am having trouble figuring out how I can get the side panel to open when I click the marker. I’ve had a look at the leaflet.js documentation and a few other places but have had no luck. They only show how to bind a popup to a marker. </p>

<p>Any help or advice would be greatly appreciated.</p>",0,javascript
29935506,cordova SMS plugin -- javascript error,"<p>I am using cordova 3.6.3.<br>
I am using following SMS plugin.</p>

<p><a href=""http://plugins.cordova.io/#/package/com.rjfun.cordova.sms"" rel=""nofollow"">http://plugins.cordova.io/#/package/com.rjfun.cordova.sms</a>
<a href=""https://github.com/floatinghotpot/cordova-plugin-sms/tree/master/docs"" rel=""nofollow"">https://github.com/floatinghotpot/cordova-plugin-sms/tree/master/docs</a></p>

<p>I have added plugin in following way :--<br>
cordova plugin add com.rjfun.cordova.sms</p>

<p>My cordova app when loaded calls the following function doc_onload().</p>

<pre><code>&lt;body onload=""doc_onload()""&gt;
</code></pre>

<p>Then this register the handler for ""deviceready"". When the device is ready this device ready function is called.</p>

<p>Now the problem inside the  <code>initApp()</code> handler is that SMS plugin check does not display any alert message.
I am able to get the alert --> ""kk"" . </p>

<p>But in the following check  <code>if (! SMS )</code> I did not get any display message.  Neither <code>if nor else</code> got satisfied.</p>

<p>Even <code>alert(""end"");</code>  Does not get displayed  inside <code>initApp()</code> event handler.</p>

<p>Please suggest why it is failing ?</p>

<pre><code>function initApp()
{
    alert(""initApp"");
    // attach Fastclick handler
    FastClick.attach(document.body);

    alert(""kk"");

    if (! SMS )
    {
        alert( 'SMS plugin not ready' );
        return;
    }
    else
    {
        alert( 'SMS plugin Ok ' );
    }

    alert(""end"");

    //add SMS arrive listner handler
    document.addEventListener(""onSMSArrive"", processSMS(), false);


}

//function doc_onload(page_type)
function doc_onload()
{

   // Do some task
    alert(""doc_onload"");

    // add event handler for deviceready function
    document.addEventListener(""deviceready"", initApp(), false);

}
</code></pre>",0,javascript|jquery|cordova|phonegap-plugins
30122480,JS button pressed and resize iframe,"<p>When i pressed a button in the iframe, it disappears the tag but doesnt resize the iframe size. when the ajax is done should call the AjustResizeIframeHeight method in the other page
Any suggestion to do that?</p>

<p><strong>UPDATE</strong></p>

<p>page with iframe</p>

<pre><code>&lt;script language=""javascript"" type=""text/javascript""&gt;
function resizeIframe(obj) {
 obj.style.height = obj.contentWindow.document.body.scrollHeight + 'px';
}
function AdjustIframeHeight(i) { document.getElementById(""form-iframe"").style.height = parseInt(i) + ""px""; }
&lt;/script&gt;

&lt;iframe id""form-iframe"" width=""100%"" style=""border: none"" src=""{{ notes }}""  onload='javascript:resizeIframe(this);'&gt;
&lt;/iframe&gt;
</code></pre>

<p>content the iframe:</p>

<pre><code>&lt;a href=""#"" onclick=""xpto2(1,{{ n.id }});parentNode.parentNode.removeChild(parentNode)"" &gt;Don't show again&lt;/a&gt;

&lt;script&gt;
    function xpto2(status,noteid) {
       var request =  $.ajax({
           ....
       });
        request.done(function() {
           window.parent.AdjustIframeHeight();
        });
}
&lt;/script&gt;
</code></pre>

<p>Added the <code>window.parent.AdjustIframeHeight()</code> in the ajax function, but it says ""unresolved function or method""</p>",0,javascript|jquery|html|ajax|iframe
30061542,Get Position of text inside a HTML element,"<p>I am trying to detect the position of text inside a HTML element (assume, <code>&lt;div&gt;</code> tag) (top, left, bottom and right coordinates) on the screen. I have tried offsetLeft, and offsetWidth. But, it doesn't help. Please help.</p>

<p>Thanks.</p>",2,javascript|html
29750633,angular unbind events when you leave a route,"<p>One of routes in my application requires some special keypress event bindings, but none of the other routes do.</p>

<p>So, in that route's controller I'm binding the event like so:</p>

<pre><code>angular.element( document.body ).bind('keydown keypress', function (event)
{
   //...
});
</code></pre>

<p>and i just noticed that when I navigate to that route, and then leave and go to a different route, those keyboard event bindings are still active.</p>

<p>How can I unbind the events whenever the route changes to a different controller?</p>",0,javascript|angularjs|javascript-events
29867835,"Jquery, get values from <li> tag","<p>I have list with id <code>myid</code>. I can get values li values like this <code>$('#' + i).text()</code>. But I am using <code>$( '#myid' ).sortable()</code> . How can get values in currently displayed order? <a href=""http://jsfiddle.net/rcmyy/58/"" rel=""nofollow"">Demo here</a>. I need to implement function in <code>stop:</code></p>

<pre><code>&lt;ul id='myid'&gt;
    &lt;li id='1'&gt;value 1&lt;/li&gt;
    &lt;li id='2'&gt;value 2&lt;/li&gt;
    &lt;li id='3'&gt;value 3&lt;/li&gt;
    &lt;li id='4'&gt;value 4&lt;/li&gt;
    &lt;li id='5'&gt;value 5&lt;/li&gt;
&lt;/ul&gt;
</code></pre>",1,javascript|jquery|html|css|jquery-ui-sortable
