_id,title,content,total_like,tags
32561991,Is it ok to create databases in AWS RDS dynamically?,"<p>I am trying to create a new database so that I can transfer my application to AWS without much work. According to this <a href=""http://docs.aws.amazon.com/elasticbeanstalk/latest/dg/create_deploy_PHP.rds.html"" rel=""nofollow"">link</a> I should do this to connect to a RDS Database:</p>

<pre><code>$link = mysqli_connect($_SERVER['RDS_HOSTNAME'],
$_SERVER['RDS_USERNAME'],
$_SERVER['RDS_PASSWORD'],
$_SERVER['RDS_DB_NAME'],
$_SERVER['RDS_PORT']);
</code></pre>

<p>It works, so I tried adding a new database and made a new connection + query using the new database and it also worked.</p>

<p>My question is, the database name from the link, is fetch from <code>$_SERVER['RDS_DB_NAME']</code>, I do not know if there is any <code>AWS</code> dependent thing with them adding the db details to <code>$_SERVER</code> variable.</p>

<p>So is it safe if I create a new database <strong>dynamically</strong> using php? I am wondering if tomorrow morning their system will suddenly drop my new database because it was created outside <code>RDS</code>?</p>

<p>The AWS Server (EC2, RDS, etc.) were set up by <code>AWS Elastic Beanstalk</code>, I didn't set them up manually so I am having those <code>am I allowed to do this situations</code></p>",0,php|mysql|amazon-web-services|amazon-ec2|amazon-rds
32729160,SCRAM-SHA-1 auth by PHP,"<p>help me please with implementing semantic code from manual about SCRAM-SHA-1 authorization in XMPP server. So, we got:</p>

<pre><code>clientFinalMessageBare = ""c=biws,r="" .. serverNonce
saltedPassword = PBKDF2-SHA-1(normalizedPassword, salt, i)
clientKey = HMAC-SHA-1(saltedPassword, ""Client Key"")
storedKey = SHA-1(clientKey)
authMessage = initialMessage .. "","" .. serverFirstMessage .. "","" .. clientFinalMessageBare
clientSignature = HMAC-SHA-1(storedKey, authMessage)
clientProof = clientKey XOR clientSignature
clientFinalMessage = clientFinalMessageBare .. "",p="" .. base64(clientProof)
</code></pre>

<p>My PHP code:</p>

<pre><code>$cfmb = 'c=biws,r='.$salt;     
$saltpass = hash_pbkdf2('sha1', 'IDoMdGuFE9S0', $ps, $iter);        
//hash_pbkdf2('sha1', 'IDoMdGuFE9S0', $salt, $iter, 0, true); maybe like that???
$ckey = hash_hmac('sha1', $saltpass, 'Client Key');
$sckey = sha1($ckey);
$authmsg = $im.','.$chal.','.$cfmb;
$csign = hash_hmac('sha1', $sckey, $authmsg);
$cproof = bin2hex(pack('H*',$ckey) ^ pack('H*',$csign));
$cfm = $cfmb.',p='.base64_encode($cproof);
</code></pre>

<p>Somewhere error (maybe ALL big error ;)) and I very need your help for correcting my code, maybe I am use wrong functions, or arguments in wrong positions? Because result - fail, server sends me that:</p>

<p>""The response provided by the client doesn't match the one we calculated.""</p>

<p>PS: Sorry for my bad English ;)</p>",0,php|xmpp|sasl|sasl-scram
32745395,Send SMS from PHP script with FreePBX Bootstrap,"<p>In the below script, which was written by an unknown third party, the only changes I've made were changing the value of $to, $from, and $body from hard-coded strings to $_GET elements. The aim of the project is to pass some parameters to this script in a query string, and then compose and send and SMS message with it.</p>

<pre><code>&lt;?php

/**** **** **** **** **** **** **** **** **** **** **** 
 * sms.php 
 * 
 * sample PHP code to send an SMS message to a registered 
 * extension on a FreeBX 12 server 
 * 
 * version history
 *    2015-09-22   version 0 by lgaetz@sangoma.com
 **** **** **** **** **** **** **** **** **** **** ****/

// Load the FreeBPX bootstrap, requires FreePBX 12
if (!@include_once(getenv('FREEPBX_CONF') ? getenv('FREEPBX_CONF') : '/etc/freepbx.conf')) {
    include_once('/etc/asterisk/freepbx.conf');
}

// The Asterisk Manager Class from the boostrap is $astman 
// If using FreePBX 13+ must set asman with 
//  $astman = new AGI_AsteriskManager( );
if ($astman) {
    // $to = ""sip:#######"";
    // $from = '""Caller ID Name"" &lt;#######&gt;';
    // $body = ""cats are yummy"";
    $to = $_GET['to'];
    $from = $_GET['from'];
    $body = $_GET['body'];

    $result = $astman-&gt;MessageSend($to, $from, $body);

    print_r($result);   //debug

    // the variable $result will be an array of the formats
    // Array ( [Response] =&gt; Success [Message] =&gt; Message successfully sent )
    // Array ( [Response] =&gt; Error [Message] =&gt; Message failed to send. )
} else {
    echo ""No Asterisk Manager Connection"";
}
</code></pre>

<p>However, even though this script works fine with those commented-out hard-coded values, changing those values to $_GET elements results in this error message:</p>

<pre><code>Array ( [Response] =&gt; Error [Message] =&gt; Message technology not found. )
</code></pre>

<p>I'm trying to find some sort of documentation to explain to me how this works... Any ideas from anyone else who's worked with FreePBX bootstrap?</p>",2,php|get|sms|freepbx
32539149,how to make a select option using ajax call .on retrieval it produces an array,"<p>how to add the resultant array data as a select option to get dropdown?   </p>

<pre><code> &lt;html&gt;
    &lt;script&gt;
    $(document).ready(function() {
        $(""#class_name"").change(function(){
            var class_id=$(""#class_name"").val();
            //alert(""""+class_id);
            $.ajax({
                url: ""../masters/getsection.php"", 
                type: ""POST"",            
                data:""class_id=""+class_id,

                 success: function(data){
                    alert(data);

                }



    });
        });
});

&lt;/script&gt;
&lt;body&gt;
&lt;div class=""form-group""&gt;
            &lt;div class=""col-sm-9""&gt;
            &lt;select name=""class_name"" class=""form-control"" id=""class_name""&gt;
            &lt;?php
            sizeof($StudentArray);
            for($i=0;$i&lt;sizeof($StudentArray);$i++){
            echo ""&lt;option value='"".$StudentArray[$i]     ['classId'].""'&gt;"".$StudentArray[$i]['name'].""&lt;/option&gt;"";
            }
            ?&gt;
            &lt;/select&gt;
        &lt;/div&gt;
    &lt;div class=""form-group""&gt;
                &lt;div class=""col-sm-9""&gt;
                &lt;select  class=""form-control"" name=""section_name"" id=""section_name"" &gt;
                &lt;option value=array['sec_id']&gt;.array['sec_name']&lt;/option&gt;//how to give the array value here?

            &lt;/select&gt;
        &lt;/div&gt;
    &lt;/div&gt;
</code></pre>

<p>
</p>

<p>success of data array gives result as</p>

<pre><code> array([0]=&gt;array(['sec_id']=&gt;1['name']=&gt;A)
 [1]=&gt;array(['sec_id']=&gt;2['name']=&gt;B)
 )
</code></pre>

<p>my question is how to print this array value in the secont ?
my getsection.php is </p>

<pre><code>&lt;?php
include '../common/inc.common.php';
$class_id=$_POST['class_id'];
$tableName1 = ""section"";
$fields1=""sec_id,sec_name"";
$conditions1=""where stat='A' and class_id='$class_id'"";
 $SectionArray = $Cobj-&gt;getCustomData($tableName1,$fields1, $conditions1);
print_r($SectionArray);
?&gt;
</code></pre>",0,javascript|php|jquery|json|ajax
32686708,Web statistics using PHP (laravel)/Mysql,"<p>I have a login/logout application which I created using Laravel 4. I need to make a web statistics so whenever the user login it will show me a line graph with the amount of users within a day. </p>

<p>Below is my login method from which I save data in the database whenever a user login.</p>

<pre><code> public function postLogin() {

    $input = Input::all();
    $rules = array('email' =&gt; 'required', 'password' =&gt; 'required');
    $v = Validator::make($input, $rules);

    if ($v-&gt;fails()) {
        return Redirect::to('login')-&gt;withErrors($v);
    } else {
        $credentials = array('email' =&gt; $input['email'], 'password' =&gt; $input['password']);

        if (Auth::attempt($credentials)) {
            $id = Auth::user()-&gt;id;
            $auditor = new Auditor();
            $auditor-&gt;user_id = $id;
            $auditor-&gt;operation = 'login';
            $auditor-&gt;save();
            return Redirect::to('admin');
        } else {
            return View::make('home.login', array('message' =&gt; 'Wrong username/password!'));
        }
    }
}
</code></pre>

<p>I have a controller where I group my data from database. I know it is not correct but I don't know how to continue to create the graph.</p>

<pre><code>public function graph() {
    $auditor = new Auditor();
    $auditor = array();
    //get data from database
    $sql = ""SELECT  DATE('auditor'.'created') AS date"" . ""COUNT('auditor'.'auditor_id') AS 'count'"". ""FROM 'auditor'"".
    ""WHERE auditor .created BETWEEN 2015-09-01 00:00:00 AND 2015-09-31 23:59:59"". ""GROUP BY date"".""ORDER BY date"";
    $result = mysqli_query($sql) or die('Query failed: ' . mysql_error());
    if ($result) {
        while ($row = mysql_fetch_assoc($result)) {

        }
    }
</code></pre>

<p>Please can you help me how to draw a graph and is it possible to display data in the graph after grouped?</p>",0,php|mysql|laravel
32743093,Get $request variable in route function - laravel?,"<p>I have this route</p>

<pre><code>Route::post('/unicorn',['as' =&gt; 'unicorn',function ()
{
    //Despite popular belief unicorns can be controlled
    $pony = $this-&gt;app-&gt;make('App\Http\Controllers\UnicornController')-&gt;saddle(); 
}]);
</code></pre>

<p>And I also have a good reason to be making the controller within the route function instead of just using <code>'uses' =&gt; 'UnicornController'</code>.</p>

<p>The issue arises from the fact that the <code>saddle()</code> function requires the request</p>

<pre><code>public function saddle(Request $request){
    dd($request-&gt;input('type'));
}
</code></pre>

<p>So... how can I</p>

<p><strong>A.</strong> ideally be able to access <code>$request</code> within the route function</p>

<p>or </p>

<p><strong>B.</strong> Get <code>$this-&gt;app-&gt;make()</code> to inject the request like using <code>'uses' =&gt;</code> does</p>

<p><strong>..?</strong></p>",0,php|laravel|laravel-5
32849778,Laravel GET moved permanently on POST forms 301,"<p>I have this very weird error. </p>

<p>Whenever I attempt to use a form on this particular call, it will automatically do a Moved Permanently 301 call to the exact same page as GET. I'm not sure what is causing this but I'm guessing this is something with how Laravel handles URLs.</p>

<p>For example I have:</p>

<pre><code>&lt;?php echo Form::open(array('url' =&gt;  'storage/remove/?page=' . $page)) ?&gt;
</code></pre>

<p>Where $page is a _GET variable. </p>

<p>When I run this page in FireBug, I see that it always tries to redirect it to a GET page. </p>

<p>My routes:</p>

<pre><code>Route::any(""storage/{id?}"", array(""uses"" =&gt; ""StorageController@index"", ""before"" =&gt; array(""auth"", ""maintenance_check"")));
Route::post(""storage/remove"", array(""uses"" =&gt; ""StorageController@remove"", ""before"" =&gt; array(""auth"", ""csrf_check"", ""maintenance_check"")));
</code></pre>

<p>Can someone let me know what I'm doing wrong for this issue?</p>",2,php|laravel|redirect|get
32612814,PHP MySQLI Select multi columns returning null,"<p>I'm attempting to retrieve 2 columns from my database with the following prepared statement:</p>

<pre><code>$statement = $conn-&gt;prepare(""SELECT script, work_instruction FROM "".$table."" WHERE category='"".$category.""' AND sub_category='"".$sub_category.""' AND issue='"".$issue.""'"");
</code></pre>

<p>Whenever I use this query, the PHP is returning <code>null</code> to my webpage, even though the data is present in the DB. However, the following statement <strong>does</strong> work (Same for work_instruction):</p>

<pre><code>$statement = $conn-&gt;prepare(""SELECT script FROM "".$table."" WHERE category='"".$category.""' AND sub_category='"".$sub_category.""' AND issue='"".$issue.""'"");
</code></pre>

<p>Once I prepare the statement I execute and loop through my results, before returning them. I think the problem may lie here, but am not sure.</p>

<pre><code>$statement-&gt;execute();
$statement-&gt;bind_result($results);

while($statement-&gt;fetch()){
    array_push($myArr, $results);
}

$statement-&gt;free_result();
echo json_encode($myArr);
</code></pre>

<p><br>Here is an example of what my table looks like:
<a href=""https://i.stack.imgur.com/lqGa4.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/lqGa4.png"" alt=""enter image description here""></a>
<br><hr>Here is the entire function, just in case you need to see more:</p>

<pre><code>// Responsible for generating queries to the database
// and returning the data collected
function query($conn, $column) {    
    $myArr = array();
    $table = $_POST['table'];
    $category = $_POST['category'];
    $sub_category = $_POST['sub_category'];
    $issue = $_POST['issue'];

    switch ($column) {
        case 'category':
            $statement = $conn-&gt;prepare(""SELECT DISTINCT category FROM "".$table);
            break;

        case 'sub_category':
            $statement = $conn-&gt;prepare(""SELECT DISTINCT sub_category FROM "".$table."" WHERE category='"".$category.""'"");
            break;

        case 'issue':
            $statement = $conn-&gt;prepare(""SELECT DISTINCT issue FROM "".$table."" WHERE category='"".$category.""' AND sub_category='"".$sub_category.""'"");
            break;

        //This does not work
        case 'script':
        $statement = $conn-&gt;prepare(""SELECT script, work_instruction FROM "".$table."" WHERE category='"".$category.""' AND sub_category='"".$sub_category.""' AND issue='"".$issue.""'"");
        break;

        //This does work
        case 'work_instruction':
        $statement = $conn-&gt;prepare(""SELECT work_instruction FROM "".$table."" WHERE category='"".$category.""' AND sub_category='"".$sub_category.""' AND issue='"".$issue.""'"");
        break;

        case 'doc_link':
            //$statement = $conn-&gt;prepare($query);
            break;

        default:
            break;
    }
    $statement-&gt;execute();
    $statement-&gt;bind_result($results);

    while($statement-&gt;fetch()){
        array_push($myArr, $results);
    }

    $statement-&gt;free_result();
    echo json_encode($myArr);

}
</code></pre>",0,php|mysql|mysqli
32688789,Monolog get requested url and simple log on in Laravel 5,"<p>I have checked the official repo of monolog and put together below code, its working great and I am getting response in Slack. But the response are very verbose, How Can i get simple response, without Stack Trace.</p>

<p>And as suggested <a href=""https://github.com/Seldaek/monolog/blob/master/doc/02-handlers-formatters-processors.md"" rel=""nofollow"">on doc</a> I have added <code>$monolog-&gt;pushProcessor(new WebProcessor($_SERVER));</code> but its not giving any information about requested URL and server.</p>

<pre><code>class AppServiceProvider extends ServiceProvider {

    /**
     * Bootstrap any application services.
     *
     * @return void
     */
    public function boot()
    {
        if ($this-&gt;app-&gt;environment('production')) {
            // Get The Logger
            $monolog = Log::getMonolog();

    // **********************************************************************************************
    // I have tried official WebProcessor to get url, but its not giving me anything
    // **********************************************************************************************

            $monolog-&gt;pushProcessor(new WebProcessor($_SERVER));

            $monolog-&gt;pushProcessor(function ($record) {
                $record['extra']['session_id'] = Cookie::get(config('session.cookie'));
                $record['extra']['request_id'] = Session::get('request_id');
                return $record;
            });

            $slackHandler = new SlackHandler(env('SLACK_TOKEN'), '#sss-sslogs', 'sss-log', true, ':warning:', Logger::ERROR);

    // **********************************************************************************************
    // Setup Line Formatter but no luck 
    // **********************************************************************************************

            // the default date format is ""Y-m-d H:i:s""
            $dateFormat = ""Y n j, g:i a"";
            // the default output format is ""[%datetime%] %channel%.%level_name%: %message% %context% %extra%\n""
            $output = ""%datetime% &gt; %level_name% &gt; %message% %context% %extra%\n"";
            // finally, create a formatter
            $formatter = new LineFormatter($output, $dateFormat);
            $slackHandler-&gt;setFormatter($formatter);

            $monolog-&gt;pushHandler($slackHandler);
        }
    }
</code></pre>

<p>Above code is giving me below response in Slack channel </p>

<pre><code>exception 'Illuminate\Database\Eloquent\ModelNotFoundException' with message 'No query results for model [App\User].' in /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Builder.php:151
Stack trace:
#0 /home/vagrant/Code/App/app/Http/Controllers/PortfolioController.php(30): Illuminate\Database\Eloquent\Builder-&gt;firstOrFail()
#1 [internal function]: App\Http\Controllers\PorofileController-&gt;show('users')
#2 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Routing/Controller.php(246): call_user_func_array(Array, Array)
#3 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php(162): Illuminate\Routing\Controller-&gt;callAction('show', Array)
#4 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php(107): Illuminate\Routing\ControllerDispatcher-&gt;call(Object(App\Http\Controllers\PortfolioController), Object(Illuminate\Routing\Route), 'show')
#5 [internal function]: Illuminate\Routing\ControllerDispatcher-&gt;Illuminate\Routing\{closure}(Object(Illuminate\Http\Request))
#6 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php(141): call_user_func(Object(Closure), Object(Illuminate\Http\Request))
#7 [internal function]: Illuminate\Pipeline\Pipeline-&gt;Illuminate\Pipeline\{closure}(Object(Illuminate\Http\Request))
#8 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php(101): call_user_func(Object(Closure), Object(Illuminate\Http\Request))
#9 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php(108): Illuminate\Pipeline\Pipeline-&gt;then(Object(Closure))
#10 /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php(67): Illuminate\Routing\ControllerDispatcher-&gt;callWithinStack(Object(App\Http\Controllers\PortfolioController), Object(I…

Level
----------------
ERROR
</code></pre>

<p><strong>Where is the requested URL and session data??</strong> </p>

<p>How can I get only below part with <code>requested URL</code>, I am not interested in <code>Stack trace:</code></p>

<pre><code>exception 'Illuminate\Database\Eloquent\ModelNotFoundException' with message 'No query results for model [App\User].' in /home/vagrant/Code/App/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Builder.php:151
</code></pre>",1,php|laravel-5|monolog
32766418,How to show/hide <div> with <?php?> in it,"<p>I'm trying to create a dropdown list which will show some divs. In the divs, I include a PHP file. When I try to show/hide a div using the dropdown list, it doesn't work. What is wrong with my code?</p>

<pre><code> $(document).ready(function(){
        $('.report').hide();
        $('#prodi').change(function () {
            $(this).find(""option"").each(function () {
                $('#' + this.value).hide();
            });
            $('#' + this.value).show();

        });
      });
    &lt;/script&gt;
</code></pre>

<p>dropdown</p>

<pre><code>&lt;div class=""prodi ops"" style=""margin-bottom:10px;""&gt;
       Program Studi :
           &lt;select id=""prodi""&gt;
         &lt;option value=""""&gt;-Pilih Prodi-&lt;/option&gt;
         &lt;option value=""D3-Teknik Informatika""&gt;D3-Teknik Informatika&lt;/option&gt;
         &lt;option value=""Program Kompetensi""&gt;Program Kompetensi&lt;/option&gt;
         &lt;option value=""S1-Teknik Informatika""&gt;S1-Teknik Informatika&lt;/option&gt;
         &lt;option value=""S1-Sistem Informasi""&gt;S1-Sistem Informasi&lt;/option&gt;
           &lt;/select&gt;
       &lt;/div&gt;
</code></pre>

<p>other divs</p>

<pre><code>    &lt;div class=""report"" id=""S1-Teknik Informatika""&gt;
        &lt;?php include 'searchs1if.php'; ?&gt;
    &lt;/div&gt;
  &lt;div class=""report"" id=""S1-Sistem Informasi""&gt;
    &lt;?php include 'search_s1si.php'; ?&gt;
  &lt;/div&gt;
  &lt;div class=""report"" id=""D3-Teknik Informatika""&gt;
    &lt;?php include 'searchd3if.php'; ?&gt;
  &lt;/div&gt;
  &lt;div class=""report"" id=""Program Kompetensi""&gt;
    &lt;?php include 'searchprokom.php'; ?&gt;
  &lt;/div&gt;
</code></pre>

<p>Thank you for any suggestion.</p>",-1,javascript|php|jquery|html|css
